"IO_ID","Address","OccupantName","StructureName","PropUseType","PropUseTypeDescription","InspectionType_Full","LatestInspDate","InspWithinLastYear","address_id","lon","lat"
"161328","11320 Dexter","BARREL & BOTTLE LIQUOR STORE","Barrel and bottle Liquor store","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","23/8/2022 11:15:14","Yes","542188","-83.122095","42.37744"
"161308","5002 Van Dyke","ALAMEEN MINI MART/ CITGO","CITGO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","23/8/2022 11:09:31","Yes","15181","-83.01239","42.376387"
"161445","17729 Telegraph","Victory Inn & Suites","Victory Inn and Suites","449"," Hotel/motel, Commercial","ANNUAL Residential","23/8/2022 11:00:00","Yes","109042","-83.278","42.420513"
"161294","14900 East Eight Mile","DUNKIN DONUTS","Dunkin Donuts","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","23/8/2022 10:13:08","Yes","225343","-82.968628","42.449446"
"158459","24133 Grand River","FAMILY DOLLAR","Family Dollar","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","23/8/2022 10:00:00","Yes","443604","-83.278161","42.423875"
"161446","17421 Telegraph","Development Centers","Development Center Inc.","599"," Business Office","ANNUAL Business Occupancy","23/8/2022 00:00:00","Yes","107048","-83.277842","42.418307"
"161416","5057 Woodward","Maccabees Building","Maccabees Building","500"," Mercantile, Business - Other","ANNUAL High Rise","22/8/2022 17:09:29","Yes","264177","-83.065289","42.357453"
"161279","2844 East Grand Boulevard","Sunoco Gas","SPEEDFILL GAS","571"," Service Station, Gas Station","ANNUAL Gas Station","22/8/2022 15:31:51","Yes","340765","-83.064989","42.37381"
"161275","12355 Gratiot","Boost Mobile","Boost Mobile","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","22/8/2022 15:14:06","Yes","234789","-82.990143","42.416786"
"161274","11839 Gratiot","Hollywood stars",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","22/8/2022 14:06:53","Yes","350826","-82.994376","42.410797"
"161278","3561 Mt Elliott","AFIF FUEL INC","CITGO GAS","571"," Service Station, Gas Station","ANNUAL Gas Station","22/8/2022 13:37:44","Yes","327054","-83.021773","42.360877"
"161273","11851 Gratiot","Metro PCS","Sunset Village","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","22/8/2022 13:12:45","Yes","350836","-82.994376","42.410797"
"161272","11330 Gratiot","V.I. P. Wear","Payless shoe source #2404","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","22/8/2022 12:06:49","Yes",,,
"161289","17100 Chalmers","UNITED CHILDREN & FAMILY HEADS","Mt. Calvary Lutheran School / Church","200"," Educational - Other","ANNUAL Assembly Occupancy","22/8/2022 12:00:00","Yes","161093","-82.974687","42.427314"
"160813","15405 Gratiot","METRO PCS","ALDI'S PLAZA","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","22/8/2022 11:05:39","Yes","351824","-82.970177","42.448281"
"156142","14858 East Eight Mile","CHECKERS","Checkers","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","22/8/2022 10:27:26","Yes","351657","-82.969681","42.449413"
"161282","1140 Clay","75 & 94 TRUCK STOP LLC","Mobile","571"," Service Station, Gas Station","ANNUAL Gas Station","22/8/2022 10:05:11","Yes","342699","-83.063674","42.377609"
"156370","420 Peterboro","THE PETERBORO","The Peterboro","100"," Assembly - Other","ANNUAL Assembly Occupancy","20/8/2022 23:12:29","Yes","347943","-83.060509","42.344479"
"161234","400 Bagley","City Club","The Leland","100"," Assembly - Other","ANNUAL High Rise","20/8/2022 21:30:23","Yes","23952","-83.054442","42.333668"
"142782","65 Cadillac Square","Domino's","Cadillac Square","500"," Mercantile, Business - Other","ANNUAL High Rise","19/8/2022 20:56:31","Yes","347719","-83.045","42.331969"
"161192","14168 Wyoming","Banko's Lounge","Banko's Lounge","100"," Assembly - Other","ANNUAL Assembly Occupancy","19/8/2022 18:47:51","Yes","215690","-83.158885","42.391273"
"161225","1265 Griswold","QL Studio","1265","599"," Business Office","ANNUAL High Rise","19/8/2022 18:20:11","Yes","40728","-83.049992","42.333503"
"161209","1274 Library","Deluxx Fluxx","L.B. KING BUILDING","100"," Assembly - Other","ANNUAL Mercantile Occupancy","19/8/2022 17:58:55","Yes","348295","-83.047348","42.334714"
"161191","520 East Warren","BeBe Nail & Spa",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","19/8/2022 17:01:00","Yes","348013","-83.057938","42.358711"
"161202","16835 West Warren","L. George's Coney Island",,"161"," Restaurant or Cafeteria","ANNUAL Business Occupancy","19/8/2022 16:33:15","Yes","215788","-83.210525","42.343202"
"161189","530 East Warren","LITTLE CAESARS #43","Little Caesars Pizza #43","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","19/8/2022 16:30:00","Yes","348023","-83.057938","42.358711"
"161193","11511 Wyoming","Citgo Gas Station","SHAMROCK GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","19/8/2022 15:40:59","Yes","350789","-83.159069","42.373148"
"161187","550 East Warren","CHINA HOUSE, INC.","CHINA HOUSE","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","19/8/2022 15:37:38","Yes","348033","-83.057945","42.358711"
"161186","6440 Wight","Big Pink","Big Pink","100"," Assembly - Other","ANNUAL Assembly Occupancy","19/8/2022 14:31:05","Yes","240340","-83.00725","42.342365"
"153888","1326 Brush","BASEMENT BURGER BAR","Basement Burger","100"," Assembly - Other","ANNUAL Assembly Occupancy","19/8/2022 13:38:00","Yes","16060","-83.044315","42.335663"
"161194","11611 Schaefer","MLM MINI MART LLC","VALERO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","19/8/2022 13:32:38","Yes","216435","-83.17844","42.373459"
"161177","11288 Gratiot","LONG JOHN SILVER'S INC","LONG JOHN SILVER'S INC","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","19/8/2022 12:19:12","Yes","236405","-82.994018","42.409522"
"161196","7740 Woodward","See You Tomorrow",,"500"," Mercantile, Business - Other","ANNUAL Assembly Occupancy","19/8/2022 11:33:08","Yes","527558","-83.075311","42.373898"
"161207","1848 Springwells","Krispy Krunchy Chicken","Springwells Liquor","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","19/8/2022 11:29:36","Yes","49565","-83.12481","42.30881"
"160609","17320 LIVERNOIS","LOOSE MASSAGE THERAPY PLUS",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","19/8/2022 10:01:39","Yes","237854","-83.140579","42.419378"
"161182","12800 Kercheval","PHIL PITTERS CONCRETE MASONRY",,"600"," Ind., Utility, Defense, Agriculture, Mining - Other","ANNUAL Industrial Occupancy","19/8/2022 10:00:00","Yes","537182","-82.957724","42.374537"
"151557","1930 Springwells","LAPOSADA MARKET","La Posada Market","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","19/8/2022 07:46:21","Yes","53270","-83.125373","42.309316"
"148902","5960 Chene","Marathon","M&A Food and Gas Mart","571"," Service Station, Gas Station","ANNUAL Gas Station","18/8/2022 17:10:55","Yes","260908","-83.045619","42.373817"
"161259","5564 Woodward","BEST BUY SERVICE INC/MARATHON GAS","MARATHON GAS STATION","571"," Service Station, Gas Station","ANNUAL Business Occupancy","18/8/2022 17:00:35","Yes","266420","-83.066823","42.362102"
"161258","1565 Broadway","Buddy's Pizza","Madison Building","100"," Assembly - Other","ANNUAL Assembly Occupancy","18/8/2022 16:00:50","Yes","348450","-83.049567","42.336083"
"161256","7353 Kercheval","Sams Gas & Go","Sunoco","571"," Service Station, Gas Station","ANNUAL Gas Station","18/8/2022 16:00:26","Yes","282735","-83.005271","42.356756"
"158500","24150 Grand River","Metro PCS","Metro PCS","599"," Business Office","ANNUAL Mercantile Occupancy","18/8/2022 16:00:00","Yes","109809","-83.278104","42.425105"
"161160","7431 West Vernor","T Mobile","T Mobile","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","18/8/2022 15:36:00","Yes","53287","-83.122434","42.313036"
"161146","3700 East Eight Mile","AARO PROPERTIES","Cars Done Right LLC","UUU"," Undetermined","ANNUAL Business Occupancy","18/8/2022 14:55:12","Yes","536167","-83.067788","42.446972"
"159777","20000 Van Dyke","AB1 Auto Sales LLC",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","18/8/2022 14:20:01","Yes","352974","-83.024121","42.442793"
"161131","50 East Canfield","JEWISH VOCATIONAL SERVICE",,"UUU"," Undetermined","ANNUAL Business Occupancy","18/8/2022 13:35:31","Yes",,,
"161145","3704 East Eight Mile","Ryan 8 Mile Dental Center",,"341"," Clinic, Clinic-type Infirmary","ANNUAL Business Occupancy","18/8/2022 13:00:56","Yes","349106","-83.06778","42.446941"
"161254","6236 East McNichols","M & W FUEL STOP LLC.","SUNOCO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","18/8/2022 13:00:27","Yes","270487","-83.038693","42.41883"
"161144","3626 East Eight Mile","LET'S RYDE AUTO SALES LLC.",,"579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Mercantile Occupancy","18/8/2022 12:45:26","Yes","299726","-83.068407","42.446937"
"161159","10410 West Fort","HOUSE OF HARD TOPS","HOUSE OF HARD TOPS","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Business Occupancy","18/8/2022 12:35:50","Yes","350611","-83.141139","42.292292"
"161255","9635 Van Dyke","CEZAR TIRE SERVICE","Cezar Tire service","500"," Mercantile, Business - Other","ANNUAL Repair Garage","18/8/2022 12:15:56","Yes","540695","-83.023413","42.400688"
"148836","3136 East Eight Mile","8 Mile Tobacco Shop",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","18/8/2022 11:59:18","Yes","285722","-83.071239","42.446968"
"161128","1000 Franklin","River East Garage","River East Garage","882"," Parking Garage, General Vehicle","ANNUAL Parking Garage/Deck","18/8/2022 11:48:25","Yes","536660","-83.033636","42.331182"
"158577","19836 Schoolcraft","EXPRESS INC.","MARATHON GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","18/8/2022 11:37:32","Yes","115561","-83.236363","42.386641"
"161127","333 East Jefferson","APPLEBEE'S","Millender Center","100"," Assembly - Other","ANNUAL Parking Garage/Deck","18/8/2022 11:25:15","Yes","54894","-83.041502","42.330636"
"147344","19841 Schoolcraft","H & B Gas Inc. Citgo Gas station","CITGO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","18/8/2022 11:11:51","Yes","115573","-83.23615","42.385923"
"161206","1832 Springwells","Botanica Fey Amor","Urban Neighborhood Iniatives","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","18/8/2022 11:08:21","Yes",,,
"161205","1829 Springwells","Salon Extreme","Salon Extreme","599"," Business Office","ANNUAL Business Occupancy","18/8/2022 11:00:58","Yes","49415","-83.1253","42.308402"
"161162","4342 West Vernor","M-Town Liquor","M -Town Liquor","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","18/8/2022 10:48:32","Yes","349262","-83.09587","42.320509"
"149070","3340 East Eight Mile","House of Dank","House of Dank","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","18/8/2022 10:45:41","Yes","349017","-83.070282","42.446967"
"161204","1835 Springwells","Favi's Nail Salon","Favi's Nail Solon","599"," Business Office","ANNUAL Business Occupancy","18/8/2022 09:29:19","Yes","49437","-83.125357","42.308478"
"161203","2213 Springwells","European Perfumes",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","18/8/2022 09:21:01","Yes",,,
"161250","35 East Grand River","QUEENS BAR DETROIT","QUEENS BAR","100"," Assembly - Other","ANNUAL Assembly Occupancy","17/8/2022 22:10:24","Yes","23837","-83.049253","42.333669"
"161247","25 East Grand River","Olin",,"100"," Assembly - Other","ANNUAL Assembly Occupancy","17/8/2022 21:49:47","Yes",,,
"161245","2100 Michigan","Gold Cash Gold","GOLD CASH GOLD","100"," Assembly - Other","ANNUAL Assembly Occupancy","17/8/2022 20:19:38","Yes","239151","-83.075334","42.331612"
"161244","5422 Michigan","MICHIGAN PARTY STORE",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","17/8/2022 19:40:27","Yes","154613","-83.110046","42.331526"
"161223","1009 Cass","CASS PARKING","CASS PARKING","882"," Parking Garage, General Vehicle","ANNUAL High Rise","17/8/2022 19:05:00","Yes","348185","-83.052151","42.330251"
"161154","5001 East Davison","MSM Oil Inc. (MARATHON GAS STATION)","Marathon","571"," Service Station, Gas Station","ANNUAL Gas Station","17/8/2022 18:30:36","Yes","272417","-83.054192","42.41859"
"128291","1623 Michigan","BUCHAREST GRILL","Bucharest Grill","936"," Vacant Lot","ANNUAL Mercantile Occupancy","17/8/2022 17:25:48","Yes","238976","-83.068743","42.331156"
"161125","14665 Wyoming","Double Jay's Collision",,"579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Repair Garage","17/8/2022 17:01:49","Yes","351598","-83.159795","42.397594"
"161153","4111 East Seven Mile","KINGS FUEL, LLC - 7 MILE & RYAN SERVICE","7 MI RYAN SERVICE INC. MARATHON GAS","571"," Service Station, Gas Station","ANNUAL Gas Station","17/8/2022 17:00:08","Yes","294237","-83.062557","42.433459"
"157954","21741 Fenkell","Regal Spirits","Regal Spirits","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","17/8/2022 16:00:00","Yes","110650","-83.256409","42.400064"
"154239","12616 East Jefferson","Metro Pcs","Diamond Communications","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","17/8/2022 16:00:00","Yes",,,
"155573","12626 East Jefferson","GINGER BERRY","Jefferson Plaza","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","17/8/2022 15:50:14","Yes",,,
"140819","2900 East Eight Mile","Detroit Soul Cafe",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","17/8/2022 15:43:11","Yes","285594","-83.073851","42.446812"
"160065","10736 East Jefferson","F&M FUEL LLC","BP Gas Station","500"," Mercantile, Business - Other","ANNUAL Gas Station","17/8/2022 15:15:00","Yes","338189","-82.975519","42.364134"
"156137","2940 East Eight Mile","EMPIRE AUTO, INC.","Empire Auto Sales","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Business Occupancy","17/8/2022 14:18:22","Yes","255166","-83.073173","42.446849"
"147913","18490 Ford","FORD PATIO BAR AND GRILL","Ford Patio","160"," Eating, Drinking Places - Other","ANNUAL Assembly Occupancy","17/8/2022 14:15:31","Yes","215161","-83.220704","42.329377"
"158259","18900 Ford","BAM'S INVESTMENT (BP GAS)","BP Gas","571"," Service Station, Gas Station","ANNUAL Gas Station","17/8/2022 13:47:23","Yes","213981","-83.224308","42.329316"
"140029","2032 East Eight Mile","H & R Block",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","17/8/2022 13:05:55","Yes","292690","-83.081262","42.446256"
"161150","6811 Gratiot","Gratiot Fuel Stop, Inc.","Marathon Gas","571"," Service Station, Gas Station","ANNUAL Gas Station","17/8/2022 12:50:39","Yes","344605","-83.020842","42.370178"
"148905","21500 Fenkell","N K Petroleum Inc.","Clark Gas Station / Mini Mart","571"," Service Station, Gas Station","ANNUAL Gas Station","17/8/2022 12:30:00","Yes","110549","-83.253558","42.400677"
"153411","335 East Grand Boulevard","Gather House","335 E. Grand Blvd","460"," Dormitory-type Residence - Other","ANNUAL Residential","17/8/2022 12:09:10","Yes","329521","-83.006242","42.353087"
"161149","6050 Mt Elliott","I94 GAS AND GO LLC","MOBIL","571"," Service Station, Gas Station","ANNUAL Gas Station","17/8/2022 11:30:17","Yes","80394","-83.032675","42.378904"
"158511","17339 East Warren","HIGH NOON SALOON","High Noon Saloon","162"," Bar or Nightclub","ANNUAL Assembly Occupancy","17/8/2022 11:22:19","Yes","333598","-82.926418","42.407569"
"147420","3278 Livernois","JH PETROLEUM INC","BP GAS","571"," Service Station, Gas Station","ANNUAL Gas Station","17/8/2022 10:30:00","Yes","149584","-83.116123","42.326133"
"160485","6835 MICHIGAN Avenue","BURBUJAS LAUNDRY",,"600"," Ind., Utility, Defense, Agriculture, Mining - Other","ANNUAL Business Occupancy","17/8/2022 10:23:03","Yes","215298","-83.127463","42.330461"
"161147","3000 East Eight Mile","8 MILE & MITCHELL, INC. SUNOCO GAS STATION","SUNOCO GAS STATION","500"," Mercantile, Business - Other","ANNUAL Gas Station","17/8/2022 08:45:10","Yes","299727","-83.072541","42.446816"
"161169","2038 Springwells","All About Animals",,"593"," Office: Veterinary or Research","ANNUAL Business Occupancy","17/8/2022 07:26:48","Yes","348593","-83.12592","42.309987"
"161168","2030 SPRINGWELLS Street","VITAMIN JUICE INC",,"UUU"," Undetermined","ANNUAL Business Occupancy","17/8/2022 07:19:11","Yes","34811","-83.125812","42.309985"
"161167","2046 Springwells","CORTE TROPICAL","CORTE TROPICAL","599"," Business Office","ANNUAL Business Occupancy","17/8/2022 07:10:21","Yes","53260","-83.125908","42.310118"
"161166","2053 Springwells","Abby's Unisex Salon","Abby's Unisex Salon","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","17/8/2022 07:02:10","Yes",,,
"161222","621 First","Park Rite","First Street Parking Deck","882"," Parking Garage, General Vehicle","ANNUAL High Rise","16/8/2022 19:02:18","Yes","289269","-83.052081","42.32795"
"161054","2010 Springwells","FAMILY TREAT","Family Treat","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","16/8/2022 18:10:43","Yes","52857","-83.12568","42.309643"
"161053","1922 Springwells","Fiesta Land",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","16/8/2022 18:03:13","Yes","52751","-83.125275","42.309182"
"161052","2001 Springwells","Express Barber shop","Express Barber Shop","599"," Business Office","ANNUAL Business Occupancy","16/8/2022 17:52:22","Yes","53262","-83.125973","42.309388"
"161051","1941 Springwells","Mark's Market","Mark's Market","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","16/8/2022 17:38:14","Yes","53264","-83.125961","42.309139"
"161120","8005 East Jefferson","JEFFERSON FUEL INC.","Sunoco","571"," Service Station, Gas Station","ANNUAL Gas Station","16/8/2022 17:01:32","Yes","329384","-82.994831","42.352213"
"140031","2044 eight Mile","Angeles Fashions","Belmont Mall","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","16/8/2022 16:58:13","Yes",,,
"147510","2034 East Eight Mile","Simply 10","Belmont Shopping Center","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","16/8/2022 15:59:56","Yes","348589","-83.081192","42.446083"
"161121","8935 East Jefferson","Hibbard Markert",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","16/8/2022 15:35:27","Yes","5570","-82.986697","42.357646"
"161211","296 Larned","2 Detroit Parking Garage","2 Detroit Parking Garage","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL High Rise","16/8/2022 15:18:26","Yes",,,
"161055","2500 Orleans","GROBBEL, E W SONS INC","GROBBEL'S CORN BEEF","700"," Manufacturing, Processing","ANNUAL Industrial Occupancy","16/8/2022 15:00:00","Yes","348712","-83.036962","42.347261"
"147507","2030 East Eight Mile","JBEES","BELMONT SHOPPING CENTER","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","16/8/2022 14:58:22","Yes","292689","-83.081262","42.446256"
"141849","5440 Cass","Common Pub","Belcrest Apartments","100"," Assembly - Other","ANNUAL High Rise","16/8/2022 14:40:13","Yes","265718","-83.068377","42.359964"
"153750","14601 Riverside Boulevard","Detroit River Sports","Detroit River Sports","100"," Assembly - Other","ANNUAL Assembly Occupancy","16/8/2022 14:12:58","Yes","351572","-82.932325","42.359751"
"161031","6640 East Eight Mile","THE REEF","RAINBOW ROOM","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","16/8/2022 14:05:41","Yes","262642","-83.035591","42.447702"
"161066","2123 West Eight Mile","Chase Bank","Chase Bank","592"," Bank","ANNUAL Business Occupancy","16/8/2022 13:42:40","Yes","50703","-83.123372","42.44623"
"161029","1069 beaufait","Anthony Jacobs Trust (empty structure)","Anthony Jacobs Trust","UUU"," Undetermined","ANNUAL Assembly Occupancy","16/8/2022 13:06:58","Yes","448212","-83.010439","42.348523"
"161210","1234 Library","The Z Deck (parking structure)","1234 Library","882"," Parking Garage, General Vehicle","ANNUAL High Rise","16/8/2022 12:14:28","Yes","252656","-83.046589","42.334639"
"161028","12824 East Seven Mile","7TH AVE. DRY CLEANERS, LLC","7th Ave. Dry Cleaners, LLC","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","16/8/2022 12:00:00","Yes","221631","-82.992883","42.434486"
"161025","15440 East Eight Mile","MOTOR CITY PAWN BROKERS D.B.A. MJA PAWN","Motor City Pawn Brokers","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","16/8/2022 11:26:39","Yes","169326","-82.962643","42.449696"
"161024","5844 East Seven Mile","SEVEN MILE & MOUND PETRO INC/CITGO GAS","SEVEN MILE & MOUND PETRO/CITGO","571"," Service Station, Gas Station","ANNUAL Mercantile Occupancy","16/8/2022 11:00:00","Yes","299329","-83.044195","42.433068"
"161022","5041 East Seven Mile","SOLAIMAN MINI MART/VALERO GAS STATION","SEVEN MILE MINI MART (FAST STOP GAS)","571"," Service Station, Gas Station","ANNUAL Gas Station","16/8/2022 09:28:15","Yes","294242","-83.053147","42.433645"
"161059","8258 Michigan","MICHIGAN & LONYO ULTIMATE SERVICE/SUNOCO GAS","SUNOCO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","16/8/2022 09:00:32","Yes","215299","-83.144056","42.33086"
"161014","8800 Dix","EDWARD C LEVY CO",,"600"," Ind., Utility, Defense, Agriculture, Mining - Other","ANNUAL Gas Station","15/8/2022 21:48:17","Yes","254238","-83.138878","42.318024"
"161012","7009 West Vernor","Las Palmas Cafeteria","Las Palmas Cafeteria","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","15/8/2022 18:37:03","Yes",,,
"161112","18915 Telegraph","Lube One Express","Lube One Express","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Repair Garage","15/8/2022 15:00:00","Yes","352645","-83.27846","42.427205"
"152581","19360 Livernois","YOSHI HIBACHI GRILLE",,"UUU"," Undetermined","ANNUAL Business Occupancy","15/8/2022 13:20:42","Yes","322217","-83.141245","42.43445"
"148717","18321 West Eight Mile","R & T MINI MART","CITGO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","15/8/2022 12:44:55","Yes","97090","-83.222881","42.443803"
"161110","18955 Telegraph","DETROIT CITY MUFFLER LLC.","Detroit City muffler","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Repair Garage","15/8/2022 12:00:00","Yes","352668","-83.278366","42.427212"
"161109","18975 Telegraph Road","Majestic Auto Detailing","Majestic Auto Detailing","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Business Occupancy","15/8/2022 11:00:00","Yes","109965","-83.278353","42.427204"
"161106","18981 Telegraph","24/7 Nails",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","15/8/2022 10:00:00","Yes","540830","-83.278383","42.427827"
"161111","18925 Telegraph","The Detail Shop",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","14/8/2022 14:00:00","Yes","352650","-83.278091","42.426929"
"160960","5516 Michigan","Hazel's Place","Hazel's Place","100"," Assembly - Other","ANNUAL Assembly Occupancy","13/8/2022 20:00:44","Yes","151671","-83.111158","42.331474"
"160944","460 West Fort","Fort and First Fuel (Sunoco Gas Station)","FIRST AND FORT SERVICE ( SUNOCO  GAS )","571"," Service Station, Gas Station","ANNUAL Gas Station","13/8/2022 19:14:09","Yes","36216","-83.051903","42.329042"
"160973","3910 Grand River","BIG AL'S MARATHON INC/ DBA Woodbridge Gas Inc.","Marathon Gas Station","571"," Service Station, Gas Station","ANNUAL Gas Station","13/8/2022 18:57:36","Yes","44349","-83.077525","42.344167"
"160955","4842 GRAND RIVER","Barda",,"100"," Assembly - Other","ANNUAL Assembly Occupancy","13/8/2022 18:25:59","Yes","382397","-83.087947","42.348477"
"146913","4251 West Warren","SELENA GROUP, LLC/UF GAS","U.F Gas Station","571"," Service Station, Gas Station","ANNUAL Gas Station","13/8/2022 18:11:54","Yes","152842","-83.111822","42.344417"
"160950","7440 Dix","S & H Mini Mart Inc.(Sunoco Gas)","SUNOCO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","13/8/2022 16:56:41","Yes","349852","-83.125737","42.317327"
"160935","17442 Lahser","Grub Detroit",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","13/8/2022 02:45:31","Yes","352326","-83.257523","42.418526"
"160933","17444 Lahser","Redford Mini Mart",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","13/8/2022 01:34:52","Yes","352327","-83.257552","42.418506"
"160931","17139 Schaefer Street","The Comfort Zone Detroit LLC",,"100"," Assembly - Other","ANNUAL Assembly Occupancy","13/8/2022 01:26:35","Yes","66715","-83.18013","42.417295"
"160974","450 West Fort","Anchor Bar","ANCHOR BAR","100"," Assembly - Other","ANNUAL Assembly Occupancy","12/8/2022 20:24:25","Yes","290900","-83.051814","42.329162"
"160924","22001 Fenkell","THE NEW GRANDY'S LLC - DBA GRANDY'S CONEY ISLAND","Grandy's Coney Island","100"," Assembly - Other","ANNUAL Business Occupancy","12/8/2022 19:23:31","Yes","115550","-83.257218","42.400101"
"160923","17336 Lahser","Motor City Java & Tea",,"100"," Assembly - Other","ANNUAL Business Occupancy","12/8/2022 18:24:25","Yes","352293","-83.257195","42.41721"
"160914","18290 Livernois","Wright One Inc., DBA Lockeroom","Lockeroom","100"," Assembly - Other","ANNUAL Assembly Occupancy","12/8/2022 17:55:24","Yes","321627","-83.140831","42.425705"
"148617","12525 Mack","METRO PCS",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","12/8/2022 17:45:59","Yes","350974","-82.967461","42.38385"
"160920","22100 Grand River","LAHSER TIRE INC.","LASHER TIRE","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Repair Garage","12/8/2022 17:44:28","Yes","133004","-83.258532","42.417273"
"154720","4710 West Warren","McGraw Petro Mart","MARATHON GAS STATION","500"," Mercantile, Business - Other","ANNUAL Gas Station","12/8/2022 17:30:01","Yes","215866","-83.116695","42.344891"
"160922","17337 Lahser","Sweet Potato Sensations",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","12/8/2022 17:03:44","Yes","133006","-83.257973","42.417175"
"160983","12535 Mack","Bellagio liquor",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","12/8/2022 16:07:28","Yes","350979","-82.967524","42.384478"
"147470","2028 East Eight Mile","Ashley Stewart #205",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","12/8/2022 15:59:17","Yes","348585","-83.080498","42.446774"
"161046","19416 Livernois","FIELDS PROTECTION, INC","1917 AMERICAN BISTRO","UUU"," Undetermined","ANNUAL Assembly Occupancy","12/8/2022 15:30:00","Yes","322193","-83.141269","42.435562"
"160989","3800 Conner","CONNER FUEL MART","CONNER MINI MART","571"," Service Station, Gas Station","ANNUAL Business Occupancy","12/8/2022 14:13:04","Yes","303465","-82.967276","42.384038"
"161016","2024 East Eight Mile","LITTLE CAESARS #15",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","12/8/2022 13:37:06","Yes","292687","-83.081262","42.446256"
"161039","18999 Livernois","The Broadway","The Broadway","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","12/8/2022 13:30:31","Yes","22322","-83.141811","42.43091"
