"number","amount","description","status","supplier","city","state","start_date","end_date","contract_link"
"3054109","15206.4","32065 - COVER, CATCH BASIN: POOL, GRAY IRON, A.S.T.M. STD. SPEC. A-48 CLASS 30, W/BOLT DOWN CAPABILITY.  BEARING SURFACE SHALL BE GROUND TO PREVENT ROCKING IN ACCORDANCE WITH DWSD DRAWING #B-120-141A AND SPEC #WCW-18","Open","EJ USA INC","PITTSBURGH","PA","8/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054109.pdf"
"3054110","1659","PO for payment of 2022 TRUCK PERMIT 4 COLOR AND NUMBERED, 5000 PIECES","Open","ACCUFORM PRINTING & GRAPHICS INC","DETROIT","MI","8/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054110.pdf"
"3054105","1988.2","Dwsd only 19221 - BATTERY, AUTOMOTIVE: 12 V 900 CCA GROUPS 31S, PC2150S-31S 100 HOURS AMP 3/8"" STUD TOP POST PART# BH31XT","Closed for Receiving","Detroit Battery Company","Troy","MI","8/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054105.pdf"
"3054102","193730.15","To provide the CPC with a major update lof the City's Zoning OrdinanceUnable to link PO to CPA as CPA was finally closed in error. Please see attached doc for further details. CC Approved 6/30/21","Open","CODE STUDIO, INC","Austin","TX","8/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054102.pdf"
"3054106","1468","payment per quote MS 21342","Open","ACTION TRAFFIC MAINTENANCE INC","Flint","MI","8/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054106.pdf"
"3054101","56.7",,"Closed for Receiving","MSC INDUSTRIAL SUPPLY CO","LIVONIA","MI","8/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054101.pdf"
"3054070","7410.2","REFERENCE #22-3025 Antifreeze Premixed Bulk CC APPROVAL 11-17-2020","Open","VESCO OIL CORP","SOUTHFIELD","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054070.pdf"
"3054064","22000"," Emergency Residential Demotion, 9224 Genessee (22RJ181799) ","Open","Inner City Contracting, LLC","Detroit","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054064.pdf"
"3054086","466.8","Purina Pro Plan Sport All Dry Dog Food","Closed for Invoicing","PET SUPPLIES PLUS DETROIT LLC","DETROIT","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054086.pdf"
"3054071","630.00055","TO PROVIDE MAINTENANCE, REPLACEMENT/REPAIR OF PARTS PER AGREEMENT 6003836 (REQ 493593)","Closed","TRAFFIC SAFETY CONTROL SYSTEM INC","WIXOM","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054071.pdf"
"3054079","2004680","FY-22 DPW Street Maintenance Snow Request for 46,000 tons of Road Salt to be used for snow and ice removal on city streets. CC APPROVAL 11/16/2021","Open","DETROIT SALT COMPANY LLC","DETROIT","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054079.pdf"
"3054065","97977","Emergency Residential Demolition, 1264 E Grand Blvd, 3563,3571,3575 E Kirby (22GW181806)","Open","J Keith Construction LLC","Detroit","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054065.pdf"
"3054085","24000","100% ARPA ERAP 2 program attorneys will serve as Detroit Landlord Tenant Legal Counsel (DLTLC) representing Detroit residents in eviction proceedings.","Open","DARLEEN LYNN PETROSKY PLLC","Farmington Hills","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054085.pdf"
"3054092","23400","Emergency Residential Demolition - 447 Hollywood","Open","BLUE STAR INC","WARREN","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054092.pdf"
"3054058","400","Dwsd only 28157 SPIKE, RAILROAD:  5/8"" X 6"" IN 200 LB KEG.","Closed for Receiving","MSC INDUSTRIAL SUPPLY CO","LIVONIA","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054058.pdf"
"3054093","20700","Emergency Residential Demolition - 3304 Goldner","Open","BLUE STAR INC","WARREN","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054093.pdf"
"3054088","530","PO for Payment Only for document storage Oct 10/1-10/31/21 & Nov 11/1-11/30/21	","Closed","Grosse Pointe Storage/Security Archives","Detroit","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054088.pdf"
"3054055","115.12","ODG-White Board move one time RM 1026.","Closed for Invoicing","DETROIT WAYNE JOINT BLDG AUTHORITY","DETROIT","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054055.pdf"
"3054077","405","SPO issued to pay invoice","Open","INTERNATIONAL CODE COUNCIL INC","BIRMINGHAM","AL","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054077.pdf"
"3054059","504","Dwsd only 19225 BATTERY, AUTOMOTIVE: 12 VOLT, GROUP 27, TOP POST, 700CCA; 27-70","Closed","START ALL ENTERPRISES INC","Southfield","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054059.pdf"
"3054078","120",,"Closed for Receiving","MSC INDUSTRIAL SUPPLY CO","LIVONIA","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054078.pdf"
"3054057","843","Carpet Cleaning, OGM CAYMC RM 1026.","Open","DETROIT WAYNE JOINT BLDG AUTHORITY","DETROIT","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054057.pdf"
"3054066","58500","Emergency Residential Demolition,  5449 Grandy, 5433 Mitchell, 3154 E Kirby (22RJ181830)","Open","J Keith Construction LLC","Detroit","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054066.pdf"
"3054062","65.32","Dwsd only 601412 - KNOB, CONTROL: FAN MOTOR CONTROL SWITCH PART# F8UZ18513AA","Open","BOB MAXEY FORD INC","DETROIT","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054062.pdf"
"3054076","47040","FY-22 DPW Street Maintenance Snow Request for 147,000 Gallons of Liquid Calcium Chloride delivered to DPW tank and used for snow and ice removal. CC APPROVAL 11/16/2021","Open","SUBURBAN CALCIUM CHLORIDE SALES INC","Taylor","MI","7/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054076.pdf"
"3054038","28700","FY22 - RFP #22EW181859 Emergency Residential Demolition of 1496 W. Grand Blvd GF Blight Funding FY22			Which expire on 12/30/2022","Open","Inner City Contracting, LLC","Detroit","MI","6/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054038.pdf"
"3054037","43580","DWSD Only - Delivery to WCW (Huber Street) location as needed against PO:  SALT, ROCK: SODIUM CHLORIDE, BULK, COMPOSITION MIN. 97%, FOR VARIOUS DWSD STOCKPILE LOCATIONS, PER SPECIFICATION #DWSD-507","Open","DETROIT SALT COMPANY LLC","DETROIT","MI","6/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054037.pdf"
"3054048","861.56","TO REPLACE OF (2) ROLLER COVERS, REPLACE BATTERS IN TRANSMITTER, REPLACE EXTERNAL DRIVE CHAIN AND PERFORM PREVENTIVE MAINTENANCE ON AUTOMATIC GATE FOR THE CITY OF DETROIT, DEPARTMENT OF PUBLIC WORKS (REQ 493582)","Open","INTERNATIONAL CONTROLS & EQUIPMENT INC","CLINTON TOWNSHIP","MI","6/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054048.pdf"
"3054039","1959.3","PO for payment of FY22 PAPER ROLL ORDER # 22-2870 FOR DPD POLICE - STATIONARY STOCK - TP-LB3663Z6: 8 1/2 X 100 HW THERMAL, 1/2"" CORE, SM, PERF - 6 ROLLS PER CARTON","Closed for Invoicing","PAPER ROLL PRODUCTS","St Paul","MN","6/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054039.pdf"
"3054041","7600","PO for payment of The Shot News, Get Out The Vote Advertising, Satellite Information for the November 2, 2021 Election","Closed","ONE AMERICA dba THE SHOT NEWS","Detroit","MI","6/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054041.pdf"
"3054044","4544","FY22; Operating PO; Fleet; Lubricating oils / Street Maintenance garage / COD vehicles CC APPROVAL 6/25/2019","Open","Lyden Oil Company","Walbridge","Ohio","6/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054044.pdf"
"3054054","212.5"," Procure Magnets to promote contracting opportunities with OCP.","Open","CORPORATE SPECIALTIES LLC","Detroit","Michigan","6/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054054.pdf"
"3054034","60","payment per quote 698","Open","RODZINA INDUSTRIES INC (DBA DETROIT MARKING PRODUCTS)","FLINT","MI","4/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054034.pdf"
"3054033","2505","payment per invoice inv-00795-A, 00794-A, and 00793-A","Open","BHIS-Blessed Hands Interpreting Services, LLC","Detroit","MI","4/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054033.pdf"
"3054035","1977","payment per quote CP11017","Open","METCOM","Saint Clair Shores","MI","4/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054035.pdf"
"3053999","91.5","PO for FY- 22 REFERENCE#22-2956 KIRKS REQUEST PARTS FOR DOWN COACH. DDDOT-802765 OT REQ. (LM120121C)","Closed","KIRK'S AUTOMOTIVE INC","CHICAGO","IL","3/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053999.pdf"
"3053998","1274","PO for purchase of FY22 REQ: Weingartz - Item No. CC3X26, CubCadet 3x Snow Thrower 26"". See attached. ","Closed for Invoicing","WEINGARTZ SUPPLY CO INC","UTICA","MI","3/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053998.pdf"
"3054000","129.99","DoIT Supply Order 11-19-21...Deliver to CAYMC - Ste LL30 Detroit, MI 48226","Closed","STAPLES CONTRACT & COMMERCIAL LLC","Chicago","IL","3/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054000.pdf"
"3054025","85.4","Dwsd only Filter PO requested by Latanya Mctaw","Closed","KIRK'S AUTOMOTIVE INC","CHICAGO","IL","3/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054025.pdf"
"3054019","76663.23","2021-2022  To provide shelter services to those experiencing homelessness.","Open","DETROIT RESCUE MISSION MINISTRIES","Detroit","MI","3/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054019.pdf"
"3053973","1329.24","Tuskegee Airmen ACE Event Drive Through Tent Rental - September 20, 2021 City of Detroit General Services Department/Parks & Recreation Division","Closed","Hotz Catering and Rental","Warren","MI","2/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053973.pdf"
"3053994","1050","payment per INVOICE INV-02576","Closed","CREATIVE DAY TECHNOLOGIES","Troy","MI","2/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053994.pdf"
"3053986","880.16","Dwsd only Tire order requested by Latanya. Req. 493439","Closed","JEFFERSON CHEVROLET CO",,,"2/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053986.pdf"
"3053992","106.8","Dwsd only. Cleaner spray order requested by Latanya Mctaw. Req 493482","Closed for Receiving","DEALER AUTO PARTS SALES INC","REDFORD","MI","2/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053992.pdf"
"3053995","2230","DWSD only 29293 - COUPLING, TRANSITION:  2"" DUCTILE IRON  WITH A 2.34 - 2.63"" O.D. RANGE TO 2"" COPPER PIPE WITH A 2.13"" O.D. RANGE  AND STAINLESS STEEL BOLTS.  MFG SMITH-BLAIR #413 OR DWSD APPROVED ALTERNATE","Open","EJ USA INC","PITTSBURGH","PA","2/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053995.pdf"
"3053982","861.02","FURNISH AUTOMOTIVE PARTS, DDOT","Open","SNETHKAMP CHRYSLER DODGE JEEP RAM","REDFORD","MI","2/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053982.pdf"
"3053974","2249.82","100% ARPA FUNDED In accordance with CPA 6000578 -printers and supplies for Property Tax Foreclosure Prevention- Negative Economic Impacts - Household Assistance: Eviction Prevention","Closed for Invoicing","STAPLES CONTRACT & COMMERCIAL LLC","Chicago","IL","2/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053974.pdf"
"3053983","170.87","FURNISH AUTOMOTIVE PARTS, DDOT","Open","BOB MAXEY FORD INC","DETROIT","MI","2/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053983.pdf"
"3053972","1537.44"," Tuskegee Airmen ACE Event Tent Rental - November 15, 2021 City of Detroit General Services Department/Parks & Recreation Division 115 Erskine St. Detroit MI 48201 ","Closed","Hotz Catering and Rental","Warren","MI","2/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053972.pdf"
"6003455","25000","Deferred Comp 457 B Plan","Open","Nationwide Retirement Solutions, Inc.","Columbus","OH","1/12/2021 00:00:00","30/11/2028 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6003/Agreement_6003455.pdf"
"3053955","1152","PO for payment of FY-22 DPW City Engineering Request for Ads in Detroit News/Detroit Free Press for PW-7026 Mt. Elliott Reconstruction","Open","DETROIT MEDIA PARTNERSHIP LP #1008","DETROIT","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053955.pdf"
"3053963","146.88","PO for payment of HRD Supply Order Request for (Non-Window) Envelopes 4 boxes of 500.","Open","CRYSTAL CLEAR IMAGES","DETROIT","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053963.pdf"
"6004070","400000","Build out of 5,000 square feet on first and second floors of 100 Mack Avenue.","Open","DETROIT BUILDING AUTHORITY","DETROIT","MI","1/12/2021 00:00:00","30/11/2024 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004070.pdf"
"3053946","300","PO for payment of FY22 REQ: Vector Lab - Printed Reflective Vinyl Decals for PVB Vehicles","Open","VECTOR LAB LLC","Detroit","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053946.pdf"
"3053949","176909","PO for payment of Accuform, Invoice #163435 Ballot and Misc Printing for the November 2021 Election","Closed","ACCUFORM PRINTING & GRAPHICS INC","DETROIT","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053949.pdf"
"3053944","450","PO for payment of INVOICE#38-00482 PAY ONLY to The Guerilla Politic for print design of coffee hour door hangers & Thanksgiving giveaway postcard mailer for CM Janee' Ayers.","Closed for Receiving","THE GUERRILLA POLITIC","Canton","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053944.pdf"
"3053962","18614.54","Dwsd only Multiple reqs for Hydrant Parts. ","Open","EJ USA INC","PITTSBURGH","PA","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053962.pdf"
"3053969","135380","Emergency Demolition (Commercial) 3720 Fenkell","Open","ADAMO DEMOLITION COMPANY","DETROIT","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053969.pdf"
"3053960","364.4","FURNISH AUTOMOTIVE PARTS, DDOT","Closed for Receiving","BOB MAXEY FORD INC","DETROIT","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053960.pdf"
"3053959","1215","payment per quote 11/22/2021","Open","MCS MULTIMEDIA","Detroit","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053959.pdf"
"6004123","9337.5","DWSD Only - Fiberglass Ladders","Open","MSC INDUSTRIAL SUPPLY CO","LIVONIA","MI","1/12/2021 00:00:00","30/11/2023 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004123.pdf"
"3053967","3500000","DWSD Only- SPO to encumber funds for CPA 6003611 DWSD Contract No. WS-717 ""As-Needed Water Main Replacements"". This will be for FY 22.","Open","LAKESHORE GLOBAL CORPORATION","DETROIT","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053967.pdf"
"3053942","2762.8","Dwsd only 601581 SYSTEM, TARP: KIT 500 SUPER DUTY ELECTRIC TRAP SYSTEM WITH TENSION BOW KIT AND WIRING. ROLL RITE SERIES ALUMINUM, 84"" BED,  2012-2014 MACK DUMP TRUCK","Closed","SANTORO INC",,,"1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053942.pdf"
"3053954","2839.2","PO for payment of FY-22 DPW City Engineering Request for Ads in the Michigan Chronicle for PW-7026 Mt. Elliott Reconstruction","Closed","MICHIGAN CHRONICLE PUBLISHING COMPANY","DETROIT","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053954.pdf"
"3053943","1335","PO for payment of FY-22 REFERENCE #22-2916 REQUEST TO PAY OUTSTANDING INVOICE 1242103 FOR ADVERTISING.","Open","TRANSIT TALENT.COM LLC","Torrance","CA","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053943.pdf"
"6004140","7000","Furnish bio-medical waste removal services per bid 181260.","Open","Bio-MED LLC","Troy","Michigan","1/12/2021 00:00:00","30/11/2023 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004140.pdf"
"6003846","100000","Fee Study - BSEED","Open","MATRIX CONSULTING GROUP LTD","San Mateo","CA","1/12/2021 00:00:00","30/11/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6003/Agreement_6003846.pdf"
"3053952","108950","FY 22; DETROIT SALT COMPANY LLC; BPA #6003897; 2500 TONS OF BULK SALT FOR GENERAL SERVICES DEPARTMENT'S GROUNDS MAINTENANCE DIVISIONCC APPROVAL 11/16/2021","Open","DETROIT SALT COMPANY LLC","DETROIT","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053952.pdf"
"3053947","649","PO for payment of FY-22 Reference #22-2788 DDOT Request for Title VI vinyl label. The label must be featured in all DDOT buses to make sure that we are in compliance.","Closed for Invoicing","ACCUFORM PRINTING & GRAPHICS INC","DETROIT","MI","1/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053947.pdf"
"6003975","147875","DWSD Only - Contract 6003975 with Metron-Farnier for 2"" meters no longer than 17"" in length. Term expires 11/30/22. Pricing per RFB bid submission. Bid Tab attached. BOWC approval. All clearances, no exclusions, valid insurance.","Open","Metron-Farnier","Boulder","CO","1/12/2021 00:00:00","30/11/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6003/Agreement_6003975.pdf"
"6004043","150000","To provide a 2 year-term contract for the department of Civil Rights, Inclusion & Opportunity (CRIO) with American Sign Language services.","Open","DEAF COMMUNITY ADVOCACY NETWORK, INC","Sylvan Lake","MI","30/11/2021 00:00:00","1/12/2023 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004043.pdf"
"6004053","2386332","Furnish Underground Cable Removal per Reponse to RFP","Open","Energy Group, Inc","Detroit","MI","30/11/2021 00:00:00","29/11/2024 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004053.pdf"
"3053934","456.12","Dwsd only 601360 PAINT, SPRAY: MARKING GREEN, INVERTED NOZZLE, IN 17 NET OZ. CAN, WATER BASED, MSC PART # 48524888","Closed for Receiving","MSC INDUSTRIAL SUPPLY CO","LIVONIA","MI","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053934.pdf"
"3053937","32850","TO PROVIDE EMERGENCY REPAIR OF THE RUPTURED UNDERGROUND FIRE SUPPRESSION WATER SUPPLY PIPE FOR THE CITY OF DETROIT, DEPARTMENT OF TRANSPORTATION (REQ 492101)","Closed","MOORE BROTHERS PLUMBING & HEATING","DETROIT","MI","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053937.pdf"
"3053932","491.57","TO PROVIDE KEYS FOR THE STORAGE ROOM FOR THE CITY OF DETROIT, DEPARTMENT OF INNOVATIVE TECHNOLOGY (REQ 493428) ","Closed","DETROIT WAYNE JOINT BLDG AUTHORITY","DETROIT","MI","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053932.pdf"
"3053929","45000","DWSD Only-PO for Project No. WS-731 Emergency contract with Lakeshore Global Corporation  for"" Housing and Revitalization Department Lead Line Service Replacements"".","Open","LAKESHORE GLOBAL CORPORATION","DETROIT","MI","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053929.pdf"
"3053923","1060","Dwsd only 24803 - TIRE, LIGHT TRUCK: 225/75R16, PSI 80, LOAD RANGE E, 6 PLIES 2 POLYESTER+ 2 STEEL+ 2 NYLON RADIAL OR EQUAL","Finally Closed","JEFFERSON CHEVROLET CO",,,"30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053923.pdf"
"3053936","12930","REFERENCE # 22-2286 15W40 New Gallons CC APPROVAL 6/25/19","Closed","Lyden Oil Company","Walbridge","Ohio","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053936.pdf"
"3053938","23595",,"Closed","LP INDUSTRIES LTD","DETROIT","MI","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053938.pdf"
"3053927","1350","SPO issued for payment of invoice # 205; dated 11/15/2021.","Open","J. Lawler & Associates, LLC","Shelby Township","MI","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053927.pdf"
"3053917","93739","Emergency Residential Demolition, 3718 Ellery, 3229 Meldrum, 2656 Hunt, 2967 Hendricks (22RJ181835)","Open","HOMRICH","CARLETON","MI","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053917.pdf"
"3053931","317.6","Dwsd only 22834 GUN, GREASE: 670513/670500 TRW/30-445 PARTSMAS.","Closed","KIRK'S AUTOMOTIVE INC","CHICAGO","IL","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053931.pdf"
"3053918","57.39","DWSD only auto parts: Tire sensor and wheel cap. Req #493308","Closed for Receiving","DEALER AUTO PARTS SALES INC","REDFORD","MI","30/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053918.pdf"
"3053893","2032","PO for payment of BHIS - October Invoices - CRIO. See attached","Open","BHIS-Blessed Hands Interpreting Services, LLC","Detroit","MI","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053893.pdf"
"3053884","29831","Emergency Residential Demolition, 17135 Strasburg (22RJ181690)","Open","LEADHEAD CONSTRUCTION LLC","Detroit","MI","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053884.pdf"
"6003860","329862","To Provide  an agreement for Lease of Property, Sale of Aviation Fuel and Grant of Operating Rights for General Aviation Support.  ","Open","AVFLIGHT  DETROIT CITY CORPORATION","ANN ARBOR","MI","29/11/2021 00:00:00","30/6/2024 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6003/Agreement_6003860.pdf"
"3053890","2114","PO for payment of Invoices. See attached","Open","BHIS-Blessed Hands Interpreting Services, LLC","Detroit","MI","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053890.pdf"
"3053874","570","payment per invoice 18758","Closed for Receiving","ALLEGRA PRINT & IMAGING","DETROIT","MI","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053874.pdf"
"3053880","59000","DWSD Only - SPO to pay for outstanding invoices for IT support staff services rendered June through Sept, 2021 for Abbott Anthony & Derek Coleman. ECS - spot buy approved 10.26.21. All clearances, no exclusions.","Open","Intellibee Inc","Detroit","MI","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053880.pdf"
"3053891","2856","PO for payment of BHIS September Invoices - CRIO. See attached","Open","BHIS-Blessed Hands Interpreting Services, LLC","Detroit","MI","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053891.pdf"
"3053902","57802","Emergency Residential Demolition, 6173-75 Canton, 6109 Iroquois, 5348 Seneca (22RJ181838)","Open","HOMRICH","CARLETON","MI","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053902.pdf"
"3053877","367.08","FURNISH AUTOMOTIVE PARTS, DDOT","Closed for Receiving","BOB MAXEY FORD INC","DETROIT","MI","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053877.pdf"
"3053883","23860","Emergency Residential Demolition, 10303 Stoepel (22RJ181673)","Open","LEADHEAD CONSTRUCTION LLC","Detroit","MI","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053883.pdf"
"3053873","667.85","payment per quote 15479","Closed","FRAME USA INC","CINCINNATI","OH","29/11/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3053/PO_3053873.pdf"
