"business_name","business_street_address","business_city","business_state","business_zip_code","detroit_based_business","detroit_headquartered_business","detroit_small_business","detroit_start_up","detroit_resident_based_business","detroit_based_micro_business","woman_owned_business_enterprise","minority_owned_business_enterprise","industry_type","business_category_1","business_category_2","nigp_code","authorized_contact_first_name","authorized_contact_last_name","business_phone_number","business_website","certifications","lon","lat"
"Reagan Mechanical, LLC","422 W. Congress Suite 350","Detroit","MI","48226","true","true","true","false","false","false","true","true","Heating & HVAC, Plumbing, Specialty Construction",,,"238220.0","Gwen",,"313-483-9400","www.reaganmech.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"GS Group, LLC","17800 Woodward Ave, Suite 200","Detroit","MI","48203","true","false","true","false","false","false","true","true","General Contractor, Professional Service",,,"912918926.0","Monica",,"3132790449.0","www.gsgroupmi.com","Detroit Based Business; Detroit Small Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Banner Sign Co. dba Digital Print Specialties","6538 Russell St.","Detroit","Michigan","48211","true","true","true","false","false","false","false","false","Other","banners, signs",,,"Nicole",,"3137586737.0","www.bannersignco.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"RT Contracting, LLC","6400 E. 7 Mile Rd.","Detroit","MI","48234","false","false","false","false","false","false","true","true","Service (non-professional)",,,,"Tish",,"313-213-6963",,"Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"MIG East, LLC","422 W. Congress St, Suite 400","Detroit","MI","48226","true","true","false","false","false","false","false","true","General Contractor",,,,"Timberly",,"3139643155.0",,"Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"Overhead Lines, LLC","2021 S. Schaefer Hwy","Detroit","MI","48217","true","false","false","false","false","false","false","false","Electrical",,,,"Jason",,"734-487-2100","ohlines.net","Detroit Based Business",,
"T & N Services, Inc.","2940 East Jefferson","Detroit","MI","48207","true","true","false","false","false","true","false","true","Janitorial",,,,"Tyrone",,"313-394-5480","www.tnservicesinc.net","Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"Urban Alterscape","1938 Franklin St., Suite 207","Detroit","MI","48207","true","false","false","false","false","true","false","true","Architectural, General Contractor, Remodeling/Renovation",,,,"Erika",,"313-522-2138","www.urbanalterscape.com","Detroit Based Business; Detroit Based Micro Business; Minority Owned Business Enterprise",,
"DM Enterprises of Baltimore, LLC","220 W. Congress Street Floor 2 #1058","Detroit","Michigan","48226","false","false","false","false","false","false","false","true","Consulting, Engineering, Professional Service",,,,"Musab",,"4436990170.0","DM Enterprises of Baltimore, LLC","Minority Owned Business Enterprise",,
"Resourceful Vending","20250 Trinity","Detroit","Michigan","48219","true","false","false","false","false","true","true","true","Professional Service",,,,"Chiketa",,"3132832592.0",,"Detroit Based Business; Detroit Based Micro Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"livingLAB, LLC","4444 2nd Ave","Detroit","Michigan","48201","true","true","false","false","false","true","true","false","Architectural",,,"906-56-00, 906-64-00, 906-57-00, 918-92-00, 918-92-90,906-66-00","Courtney",,"73454836143139747602","livinglabdetroit.com","Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Woman Owned Business Enterprise",,
"Leadhead Construction, LLC","8205 Lyndon","Detroit","MI","48238","true",,"true",,,,"true","true","Specialty Construction",,,,"Crystal",,"3137290056.0",,"Detroit Based Business; Detroit Small Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Kirk's Automotive Inc.","9330 Roselawn","Detroit","Michigan","48204","true","true","true","false","false","false","false","false","Wholesale",,,,"Stephen",,"313-933-7030","kirks.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"J Keith Construction, LLC","1010 ANTIETAM. ,  48207","DETROIT","MICHIGAN","48207","true","true","false","false","true","true","false","true","Abatement, Asbestos Removal, Asphalt & Concrete, Builders, Demolition, General Contractor, Trash/Recycle/Waste, Trucking",,,,"KEITH JONES",,"313.454.6234","WWW.JKEITHCONSTRUCTION.COM","Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Detroit Resident Based Business; Minority Owned Business Enterprise",,
"Payne Landscaping, Inc.","7635 E. Davison","Detroit","MI","48212","true","true","true","false","true","false","false","true","Landscaping",,,,"Denise",,"3138856770.0","Payne Landscaping Inc.","Detroit Based Business; Detroit Headquartered Business; Detroit Resident Based Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Crystal Steel Fabricators, Inc.","9317 Old Racetrack Rd.","Delmar","DE","19940","false","false","false","false","false","false","false","true","Specialty Construction",,,,"William",,"3028460613.0","www.crystalsteel.com","Minority Owned Business Enterprise",,
"The Christman Company","3011 W. Grand Blvd, Ste 2600","Detroit","MI","48202","true","false","false","false","false","false","false","false","General Construction",,,"912.0","Matthew",,"313-908-6060","www.christmanco.com","Detroit Based Business",,
"Major Construction Group, Inc., DBA Major Cement","15430 Dale Street","Detroit","MI","48223","true","true","false","false","false","false","false","false","Asphalt & Concrete, General Construction, General Contractor",,,"790912913914.0","Frank",,"313-766-6174","majorcement.com","Detroit Based Business; Detroit Headquartered Business",,
"Eagle Specialties, LLC","14333 Fenkell St.","Detroit","MI","48227","true","true","false","false","false","true","true","true","Building Supplies/Equipment, Specialty Construction",,,"91200.0","Taryn",,"(313) 638-6640","www.es-us.com","Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Testing Engineers & Consultants, Inc.","660 Woodward Ave, Ste 1500","Detroit","Michigan","48226","true","false","false","false","false","false","true","false","Consulting, Engineering, Professional Service, Other","Environmental, Industrial Hygiene, Geotechnical, Construction Materials Testing",,,"Nanette",,"313-837-8464","www.testingengineers.com","Detroit Based Business; Woman Owned Business Enterprise",,
"The Diamond Firm, Inc.","19115 WEST EIGHT MILE Road","DETROIT","MI","48219","true","true","false","false","false","false","true","true","Builders, Building Supplies/Equipment, Carpentry, Commercial Cleaning, Consulting, Demolition, Drywall, Electrical, Facilities Management, Fencing, Flooring, Furnace Repair, General Construction, General Contractor, Heating & HVAC, Plumbing, Professional Service, Recreation, Remodeling/Renovation, Specialty Construction",,,"236220.0","Candice",,"3137666630.0","www.thediamondfirm.net","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Consulting Engineering Associates, Inc.","16580 Wyoming","Detroit","MI","48221","true","true","false","false","false","true","false","false","Engineering",,,,"Kenneth",,"3134342792.0",,"Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business",,
"Turbo Auto Wash, Inc.","4119 E. DAVISON ST.","DETROIT","MI","48212","true","false","false","false","false","true","false","false","Auto Wash/Detailing",,,"N/A","SONIA",,"313-320-9159","N/A","Detroit Based Business; Detroit Based Micro Business",,
"Fontenot Landscape Service, LLC","8881 Central St","Detroit","MI","48204","true","true","false","false","false","true","false","true","Grounds Maintenance",,,"94795898896855.0","Guy",,"3132208464.0","http://www.fontenotservices.com","Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"DENCAP Dental Plans, Inc.","45 E Milwaukee Street","Detroit","Michigan","48202","true","true","true","false","false","false","false","false","Health & Wellness, Insurance, Medical Care",,,"918; 91869; 953; 95348; 95352; 95380","Kristal",,"313-972-1400","dencap.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"Gayanga Company","1120 W Baltimore","Detroit","MI","48202","true","true","true","false","true","false","false","true","Demolition, General Construction, General Contractor",,,,"Brian",,"3132304930.0","www.gayangaco.com","Detroit Based Business; Detroit Headquartered Business; Detroit Resident Based Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Christman Constructors, Inc.","3011 W. Grand Boulevard, Suite 2600","Detroit","MI","48202","true","false","false","false","false","false","false","false","Other","Construction",,"3.0","Lizzie",,"517-482-0554","christmanconstructors.com","Detroit Based Business",,
"Coleman Allen LLC","607 Shelby St, Suite 700-1036","Detroit","MI","48226","false","false","false","false","false","false","false","true","Building Supplies/Equipment, Real Estate",,,,"Ronita",,"5867092487.0",,"Minority Owned Business Enterprise",,
"Gandol Inc.","18100 Meyers, Suite 2","Detroit","MI","48235","true","false","false","false","false","false","false","false","General Contractor",,,,"Nicole",,"734-941-4000","www.gandolinc.com","Detroit Based Business",,
"3D Wrecking LLC","16530 Warwick","Detroit","Michigan","48219","true","true","false","false","false","true","true","true","Demolition, Trucking",,,"912, 913 and 914","Sheila",,"313-452-6404",,"Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Alfred Benesch & Company","615 Griswold St., Suite 600","Detroit","MI","48226","true","false","false","false","false","false","false","false","Consulting, Engineering, Professional Service",,,"925139251792531.0","David",,"313-963-0612","www.benesch.com","Detroit Based Business",,
"Spalding DeDecker Associates, Inc.","15 E. Baltimore","Detroit","MI","48202","true","false","false","false","false","false","false","false","Consulting, Engineering, Professional Service",,,"925-17-00 925-86-00 925-61-00  962-52-00 905-10-00","Catherine",,"313-305-9120","https://www.sda-eng.com","Detroit Based Business",,
"Commercial Contracting Corporation","28 W Adams Ave Suite #201","Detroit","MI","48226","true","false","false","false","false","false","false","false","Asphalt & Concrete, Builders, Carpentry, General Construction, General Contractor",,,,"Kyle",,"2482090540.0","www.cccnetwork.com","Detroit Based Business",,
"Motor City Preservation","18035 Cherrylawn, Suite 1","Detroit","Michigan","48221","true","false","false","false","true","true","false","true","Grounds Maintenance, Janitorial, Landscaping, Residential Cleaning",,,,"Darnell",,"313-407-8703","www.motorcitypreservtion.com","Detroit Based Business; Detroit Based Micro Business; Detroit Resident Based Business; Minority Owned Business Enterprise",,
"Custom Architectural Sheetmetal Specialists, Inc.","5641 Conner","Detroit","Michigan","48213","true","true","false","false","false","false","false","false","Specialty Construction",,,,"Linda",,"313-571-2277","www.casssheetmetal.com","Detroit Based Business; Detroit Headquartered Business",,
"Hart EMS Medical Services, PLLC","5201 Rosa Parks Blvd","Detroit","Michigan","48208","true","true","true","false","false","false","false","false","Health & Wellness, Medical Care, Safety/Compliance, Service (non-professional)",,,,"Adam",,"313-366-4278","www.hartems.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"W.W. Grainger, Inc.","1201 W. Lafayette Blvd.","Detroit","MI","48226","true","false","false","false","false","false","false","false","Building Supplies/Equipment, Other","Maintenance, Repair and Operations",,,"Gabriel",,"(313)-324-3200","www.grainger.com","Detroit Based Business",,
"Detroit Grounds Crew, LLC","4101 Barham","Detroit","Michigan","48224","true","false","true","false","true","false","false","true","Demolition, Fencing, Grounds Maintenance, Janitorial, Landscaping, Residential Cleaning",,,,"Aaron",,"313.757.2672",,"Detroit Based Business; Detroit Resident Based Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Premier Group Associates LLC","2221 Bellevue","Detroit","MI","48207","true","true","true","false","true","false","true","false","Abatement, Asphalt & Concrete, Builders, Demolition, Drywall, Facilities Management, Flooring, General Construction, Grounds Maintenance, Landscaping, Remodeling/Renovation, Specialty Construction",,,,"Kayla",,"313-963-1700","www.pgalc.com","Detroit Based Business; Detroit Headquartered Business; Detroit Resident Based Business; Detroit Small Business; Woman Owned Business Enterprise",,
"METCO Services, Inc.","535 Griswold, Suite 540","Detroit","MI","48226","true","true","true","false","false","false","false","true","Consulting, Engineering, Professional Service",,,"541330.0","Rosana",,"313-961-4560","www.metcoservices.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Plante & Moran, PLLC","1098 WOODWARD AVENUE","DETROIT","MI","48226","true","false","false","false","false","false","false","false","Consulting, Professional Service",,,,"BETH",,"313-496-7200","WWW.PLANTEMORAN.COM","Detroit Based Business",,
"Barton Malow","1274 Library Street, 5th Floor","Detroit","Michigan","48226","true","false","false","false","false","false","false","false","General Construction",,,"90924.0","Dannis",,"313-293-8979","www.bartonmalow.com","Detroit Based Business",,
"DES Electric, LLC","11145 E Seven Mile Rd","Detroit","MI","48234","true","true","false","false","false","false","false","false","Electrical, Specialty Construction",,,"280909910912914.0","Lori",,"313-223-2800","www.des-electric.com","Detroit Based Business; Detroit Headquartered Business",,
"Troy's Towing, Inc.","9615 Grinnell St","detroit","mi","48213-1192","true","true","true","false","false","false","false","false","Trucking",,,"999.0","troy",,"3135955112.0","troystowing.net","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"Summit Commercial, LLC","7700 Second Ave., Suite 300","Detroit","MI","48202","true","true","false","false","false","true","false","true","Facilities Management, Professional Service, Real Estate",,,,"Bunia",,"313-282-1630","www.summitcommercialllc.com","Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"Master Mechanical Insulation, Inc","1001 Woodward, Suite 500","Detroit","MI","48226","true","false","true","false","false","false","true","false","Other","Mechanical Insulation Contractor",,"9103891453.0","Jeff",,"2485810033.0","www.MasterMechInsulation.com","Detroit Based Business; Detroit Small Business; Woman Owned Business Enterprise",,
"Superior Materials LLC","8911 Jefferson","Detroit","Michigan","48336","true","false","true","false","false","false","false","false","Manufacturing",,,"750-150-210-755","Karen",,"2487888000.0","www.superiormaterials.net","Detroit Based Business; Detroit Small Business",,
"Nationwide Recovery, Inc.","11785 FREUD ST","DETROIT","MI","48214","true","true","true","false","false","false","false","false","Trucking",,,,"LOUAY",,"3138222220.0","WWW.NATIONWDIE-RECOVERY.COM","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"Onyx Enterprise, Inc.","7650 2nd Ave. Suite 106","Detroit","Michigan","48202","true","true","false","false","false","true","true","true","Professional Service",,,"918, 925, 906, 909, and 961","Tarolyn",,"3134099870.0","www.onyx-enterprise.com","Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Homrich, Inc.","3033 Bourke Street","Detroit","MI","48238","true","false","false","false","false","false","false","false","Abatement, Asbestos Removal, Demolition, Specialty Construction, Trucking",,,"760, 912, 913, 918, 958, 962, 999","Scott",,"734-654-9800","homrich.com","Detroit Based Business",,
"Hollins Consulting, Inc.","870 Market Street","San Francisco","CA","94102","false","false","false","false","false","false","false","true","Consulting",,,,"Guy",,"4155717202.0","www.hollinsconsult.com","Minority Owned Business Enterprise",,
"Dixon, Inc.","660 Woodward Ave. Ste 1537","Detroit","MI","48226","true","true","true","false","false","false","false","true","Specialty Construction",,,,"Elmer ",,"313-535-6534","www.dixon99.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"WALSH CONSTRUCTION COMPANY II LLC","3031 W. GRAND BLVD SUITE 640","DETROIT","MICHGIAN","48202","true","false","false","false","false","false","false","false","General Construction",,,"909-910-912-913-914","JULIE",,"313.456.6500","www.walshgroup.com","Detroit Based Business",,
"Etna Supply Company of Southeastern Michigan","2158 Gratiot Avenue","Detroit","MI","48207","true","false","false","false","false","false","false","false","Building Supplies/Equipment, Plumbing, Wholesale",,,,"Joe",,"616-514-5203","www.etnasupply.com","Detroit Based Business",,
"MSL Mechanical Contractor","333 West Fort St, suite 1960","detroit","MI","48226","true","false","false","false","false","false","false","true","Heating & HVAC",,,"658659670740305.0","Anthony ",,"313-363-7197","www.mslllc.com","Detroit Based Business; Minority Owned Business Enterprise",,
"A-Team Snow and Ice Control, LLC","459 Antoinette St","Detroit","MI","48202","true","true","true","false","false","false","false","false","Other","Commercial snow removal and de-icing services",,,"Sam",,"586-531-3687","https://a-teamsnowremoval.com/","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
