"record_id","street_num","street_dir","street_name","street_type","description","status","date_status","parcel_id","geom"
"BLD2017-07657","1840","","HOLBROOK","","PREPAID (BLD2017-07657  /  DO NOT PERMIT)
PRMT C OF O ISSUED (02-22-2019)","CofO Issued","22/2/2019 00:00:00","09004727-38","0101000020E6100000239A77CB0AC454C0A9F651B5A8314540"
"BLD2017-08335","18215","","GREENFIELD","","REVISION TO BLD2017-00596 TO REFLECT TURE COST OF THE SCOPE OF WORK. SUBJECT TO FIELD INSPECTION AND APPROVAL./BLD2017-00596:CHANGE OF OCCUPANCY FROM OUTPATIENT MEDICAL CLINIC TO RELIGIOUS INSTITUTION IN A 2,744 SQ FT BUILDING AS PER BSEED GRANT#96-15 AS PER PLANS.","CofO Issued","13/1/2020 00:00:00","22050677-81","0101000020E6100000CE46D642CDCC54C021D95E9031364540"
"BLD2017-09029","4031","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 42' L X 21' W X 27' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS.","CofO Issued","16/4/2021 00:00:00","04003987.","0101000020E6100000616E5C7C5FC454C08BDA0E65772C4540"
"BLD2017-09030","4004","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 42' L X 21' W X 27' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS.  SEE BLD2017-09029 FOR DETAILED PLANS","CofO Issued","24/2/2021 00:00:00","04003772.004","0101000020E61000003AA26D2355C454C0F939466B702C4540"
"BLD2017-09032","4015","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 42' L X 21' W X 27' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS. SEE BLD2017-09029 FOR DETAILED PLANS.","CofO Issued","23/9/2021 00:00:00","04003772.011","0101000020E6100000D21546FE5EC454C005B85F86702C4540"
"BLD2017-09037","4021","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 41' L X 23' W X 25' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS.","CofO Issued","17/5/2021 00:00:00","04003988.","0101000020E6100000AF6513EC5EC454C09BA0FE75742C4540"
"BLD2017-09045","4100","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 44' L X 23' W X 23' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS. SEE BLD2017-09044 FOR DETAILED PLANS.","CofO Issued","3/6/2021 00:00:00","04003780.","0101000020E610000090D29FBD5AC454C0820A80FA842C4540"
"BLD2017-09047","3930","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 45' L X 22' W X 25' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS.","CofO Issued","17/8/2021 00:00:00","04003773.","0101000020E610000056FFF7D853C454C0C02639916A2C4540"
"BLD2017-09048","4018","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 44' L X 22' W X 25' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS. SEE BLD2017-09047 FOR DETAILED PLANS","CofO Issued","17/5/2021 00:00:00","04003772.006","0101000020E61000003C010CED56C454C05E089D9E762C4540"
"BLD2017-09049","4114","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 44' L X 22' W X 25' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS.SEE BLD2017-09047 FOR DETAILED PLANS","CofO Issued","16/8/2021 00:00:00",,"0101000020E610000004A69BD05CC454C01B783F0A892C4540"
"BLD2017-09052","4035","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 41' L X 23' W X 23' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS.","CofO Issued","23/6/2021 00:00:00","04003772.014","0101000020E6100000D233117361C454C0527E2D3C792C4540"
"BLD2017-09054","3940","","FOURTH","","PER BZA GRANT#7-17, ERECTION OF ONE 41' L X 23' W X 23' H TWO STORY SINGLE-FAMILY DWELLING AND DETACHED GARAGE AS PER PLANS. SEE BLD2017-09052 FOR DETAILED PLANS.","CofO Issued","3/6/2021 00:00:00","04003774.","0101000020E61000000379123F55C454C05F7642506D2C4540"
"BLD2017-09240","7649","W","VERNOR","","","CofO Issued","21/3/2019 00:00:00","18001398.","0101000020E6100000A60BF534EDC754C0F61D8D2603284540"
"BLD2017-09298","1400","","WOODWARD","","PHASE II.  CHANGE OF OCCUPANCY TO ESTABLISH A HOTEL W/GROUND FLOOR RESTAURANT AND WHITE-BOX TENANT SPACE AS PER PLANS.  SEE BLD2017-09297 FOR DETAILS","CofO Issued","7/4/2020 00:00:00","01004120-7","0101000020E610000029A59AC019C354C05525FB65CD2A4540"
"BLD2017-09306","33","","JOHN R","","CHANGE OF OCCUPANCY FROM OFFICE TO HOTEL (3RD FLOOR THRU PENTHOUSE, 110 UNITS), NEW ROOFTOP ELEVATOR TOWER, 3RD LEVEL MECHANICAL ROOM, AND GROUND FLOOR RETAIL WHITE-BOX (2 UNITS) AS PER PLANS.","CofO Issued","17/10/2019 00:00:00","01004065-7","0101000020E610000041A9266020C354C0F2D0E115F02A4540"
"BLD2017-09338","2649","","BRUSH","","(UNIT 14) ERECT A 3 STORY CARRIAGE HOUSE W/GARAGE AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS #16-4509. SEE BLD2017-09336 FOR DETAILED PLANS","CofO Issued","5/5/2021 00:00:00","-503","0101000020E610000088C5A18641C354C0E32AD8A5032C4540"
"BLD2017-09339","2647",,"BRUSH",,"(UNIT 15) ERECT A 3 STORY CARRIAGE HOUSE W/GARAGE AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS # 16-4509. SEE BLD2017-09336 FOR DETAILED PLANS","CofO Issued","28/6/2022 00:00:00","-503","0101000020E610000088C5A18641C354C0E32AD8A5032C4540"
"BLD2017-09343","2639",,"BRUSH",,"(UNIT 19) ERECT A 3 STORY CARRIAGE HOUSE W/GARAGE AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS # 16-4509. SEE BLD2017-09336 FOR DETAILED PLANS.","CofO Issued","28/6/2022 00:00:00","-503","0101000020E610000088C5A18641C354C0E32AD8A5032C4540"
"BLD2017-09344","2637",,"BRUSH",,"(UNIT 20) ERECT A 3 STORY CARRIAGE HOUSE W/GARAGE AS PER PLANS AND CERTIFICATE OF APPROIATENESS # 16-4509. SEE BLD2017-09336 FOR DETAILED PLANS.","CofO Issued","23/2/2022 00:00:00","-503","0101000020E610000088C5A18641C354C0E32AD8A5032C4540"
"BLD2017-09409","19705","W","SEVEN MILE","","","CofO Issued","16/12/2019 00:00:00","22016507-8","0101000020E610000001D466562ACF54C0F730D81CF5364540"
"BLD2017-09414","3443","","CASS","","Revision to BLD2017-08264 to reflect Plumbing review of changes in the Underground Plumbing as per plans. Separate Trade and DWSD Permits required.","CofO Issued","5/10/2020 00:00:00","02002244-7","0101000020E6100000C88C6690E2C354C0F2BC7728262C4540"
"BLD2017-09438","9100","","GRATIOT","","C of O","CofO Issued","24/9/2019 00:00:00","999","0101000020E6100000C340AC7E80C054C038FFCBDDBD314540"
"BLD2017-09443","10125","E","JEFFERSON","","TEMPORARY CERTIFICATE OF OCCUPANCY ISSUED (EXPIRES: JUNE 17, 2019)","CofO Issued","10/5/2019 00:00:00","19000058.","0101000020E6100000CCB9B54BD4BE54C0C07A3EFD562E4540"
"BLD2017-09502","9300","W","JEFFERSON","","PERMANENT C OF O","CofO Issued","26/3/2019 00:00:00","20000089.","0101000020E6100000829C317205C854C0F702D44870244540"
"BLD2017-09614","286","","ALFRED","","(AKA 284 ALFRED) ERECT A 3 STORY TOWNHOUSE W/ ATTACHED GARAGE AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS # 16-4509.","CofO Issued","7/9/2021 00:00:00",,
"BLD2017-09620","260","","ALFRED","","ERECT A 3 STORY, TOWNHOUSE W/ATTACHED GARAGE AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS # 16-4509. SEE BLD2017-09614 FOR PLANS","CofO Issued","6/5/2021 00:00:00","-502","0101000020E6100000404060FD43C354C046B14B0F0B2C4540"
"BLD2017-09621","286","","ALFRED","","(AKA 292 ALFRED) ERECT A 3 STORY, TOWNHOUSE W/ATTACHED GARAGE AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS # 16-4509. SEE BLD2017-09614 FOR PLANS","CofO Issued","7/9/2021 00:00:00",,
"BLD2017-09622","276","","ALFRED","","(AKA 276 ALFRED) ERECT A 3 STORY, TOWNHOUSE W/ATTACHED GARAGE AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS #16-4509. SEE BLD2017-09614 FOR PLANS","CofO Issued","7/9/2021 00:00:00","-502","0101000020E6100000404060FD43C354C046B14B0F0B2C4540"
"BLD2017-09624","272","","ALFRED","","(AKA 272 ALFRED) ERECT A 3 STORY, TOWNHOUSE W/ATTACHED GARAGE AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS # 16-4509. SEE BLD2017-09614 FOR PLANS.","CofO Issued","6/5/2021 00:00:00","-502","0101000020E6100000404060FD43C354C046B14B0F0B2C4540"
"BLD2017-09679","6401","W","FORT","","(REVISE BLD2015-00271) TO SHOW CHANGES IN SCOPE OF WORK AND COST OF CONSTRUCTION AS INDICATED ON PLANS.
BLD2015-00271-ERECTION OF FOOTINGS AND FOUNDATION FOR A 220' X 180' MANUFACTURING/STORAGE BUILDING, SITE WORK AND PARKING LOT AS PER PLANS. NO C. OF O WITHOUT REQUIRED LOT COMBINATION.","CofO Issued","7/1/2019 00:00:00","18000388-402","0101000020E6100000C683D0E2CDC654C092D3DBD1FF264540"
"BLD2018-00065","64","","WATSON","","ERECT NEW 3 STORY, 5 UNIT MULTIFAMILY DWELLING AS PER CERTIFICATE OF APPROPRIATENESS#  AND PLANS. SEPERATE PERMIT REQUIRED FOR DEMOLITION OF EXISTING BUILDING.","CofO Issued","3/9/2019 00:00:00","01000750.","0101000020E6100000FCA86AA384C354C023F429722D2C4540"
"BLD2018-00187","10000","","LINWOOD","","Revision to BLD2017-04451 to reflect changes in Elevator Location and Restroom Layout as per plans.//","CofO Issued","15/9/2020 00:00:00","10007460.","0101000020E610000059FF361819C754C016E33ADAEB304540"
"BLD2018-00415","4884","W","GRAND RIVER","","CHANGE OF OCCUPANCY FROM RETAIL/MANU TO COMMISARY IN A PORTION OF THE 1ST FLOOR AND ALTERATIONS AS PER PLANS. SEPARATE HEALTH DEPT. APPROVAL AND RESTAURANT BUSINESS LICENSE REQUIRED.","CofO Issued","3/9/2019 00:00:00","10000600.","0101000020E6100000DEE4B202AAC554C041F8A9F1A22C4540"
"BLD2018-00652","16630","","WYOMING","","CHANGE OF USE FROM TRADITIONAL HOUSING TO EMERGENCY SHELTER WITH 140 BED CAPACITY AND DAYCARE FACILITY AND ALTERATIONS PER BSEED GRANT #5-16 BZA GRANT# 47-16.","CofO Issued","18/10/2019 00:00:00","16037593.","0101000020E610000064A8A7ED35CA54C0CA8BB37D04354540"
"BLD2018-00878","6201","","SECOND","","AKA 6235 SECOND/CONSTRUCTION OF A 187,171 S/F MIXED USE INDOOR RECREATIONAL (BASKETBALL PRACTICE FACILITY) MEDICAL (PHYSICAL THERAPY) CLINIC, ACCESSORY PARKING STRUCTURE AND RETAIL AS PER PLANS.","CofO Issued","7/8/2020 00:00:00",,"0101000020E610000009F75307D6C454C0989690DAC82E4540"
"BLD2018-00955","14801","","FULLERTON","","ESTABLISH A RECYCLING CENTER IN EXISTING (APPROX. 20,904 SQ FT BUILDING PER BSEED PER (#65-14) AS INDICATED ON PLANS.","CofO Issued","15/10/2019 00:00:00","22040165.001","0101000020E6100000D9C39A4E37CC54C0AD4A156C3C304540"
"BLD2018-00959","313","","PARK","","2ND REVISION TO BLD2017-03485 TO MODIFY SCOPE OF ELECTRICAL WORK AS PER ATTACHED DRAWINGS. SUBJECT TO ALL MICHIGAN CODE COMPLIANCE REQUIREMENTS AND INSPECTION APPROVALS./ERECT A NEW (6) STROY MULTIPLE FAMILY DWELLING W/GROUND FLOORS COMMERCIAL SPACE AS PER CERTIFICATE OF APPROPRIATENESS# 15-365, BSEED BOARD OF APPEALS AND PLANS.","CofO Issued","29/7/2021 00:00:00","02000315-7","0101000020E6100000CD4D12664FC354C00C7EB64EE72A4540"
"BLD2018-01030","1300","","MAPLE","","(aka 1370 Maple - Legal) Construct an 3,884 square foot 1-stroy addition to an existing structure. Subject to all Michigan Code Compliance requirements and Inspection Approvals.","CofO Issued","1/8/2019 00:00:00","05000293-617","0101000020E61000001827985B88C254C02A96081A9B2B4540"
"BLD2018-01068","14860","","LINWOOD","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","22/3/2019 00:00:00","08010710-0","0101000020E610000008FB98020FC854C0C7D5A81348334540"
"BLD2018-01077","8060","","TIREMAN","","Correct Sector #6","CofO Issued","27/2/2020 00:00:00","18004967-8","0101000020E610000002FD850D7DC954C015E4212F122D4540"
"BLD2018-01117","2894","W","GRAND BLVD","","CHANGE OF OCCUPANCY FOR RETAIL (M) TO RESTAURANT (A-2) AS PER PROVIDED EPLAN DRAWINGS. SUBJECT TO ALL MICHIGAN CODE COMPLIANCE AND INSPECTION APPROVALS.","CofO Issued","14/1/2019 00:00:00","04001496-7","0101000020E61000002CE2219A26C554C0DFD0CF98002F4540"
"BLD2018-01177","600","","WOODWARD","","ESTABLISH A RESTAURANT ON THE FIRST FLOOR IN A VACANT TENANT SPACE OF AN EXISTING (12) STORY BUILDING AS PER PROVIDED EPLAN DRAWINGS.","CofO Issued","18/1/2019 00:00:00","01004098.","0101000020E61000000621DC33E8C254C06B4B1EB74E2A4540"
"BLD2018-01191","4224","","THIRD","","AKA 4226 3RD/CHANGE OF  USE FROM PUBLIC ESTABLISHMENT TO RESTAURANT (COFFEE SHOP) AND ALTERATIONS AS PER PLANS. SEPARATE HEALTH APPROVAL AND RESTAURANT BUSINESS LICENSE REQUIRED./REVISE (BLD2017-009247) TO SHOW CHANGES TO INSTALL FIRE RATED DOOR AND CHANGE USE GROUP AS INDICATED ON PLANS.","CofO Issued","27/4/2020 00:00:00","04003408.","0101000020E61000003F9E816659C454C093EDA245C02C4540"
"BLD2018-01349","1462","","VAN DYKE","","","CofO Issued","24/9/2019 00:00:00","17009186-0","0101000020E61000007F488A21DABF54C01FC5F5FD8F2D4540"
"BLD2018-01402","11499","","CONNER","","(AKA 11201 Conner) Establish Training Center in an existing (3,871 sq. ft.) Storage Building as per provided Eplans Drawings. Subject to all Michigan Building Code Inspections and Compliance Requirements.","CofO Issued","5/12/2019 00:00:00","17016374-5","0101000020E6100000C0E5129A3FC054C09F580E055D344540"
"BLD2018-01518","34","","SAND BAR LANE","","CONSTRUCT NEW (2) STORY  DWELLING SLAB ON GRADE WITH ATTACHED GARAGE AS PER EPLAN SUBMITTAL.(UNIT LOT#34) SEPARATE TRADE PERMITS REQUIRED.","CofO Issued","18/12/2019 00:00:00",,"0101000020E6100000DFF3CC5184BD54C0511E8E6C932D4540"
"BLD2018-01519","42","","SAND BAR LANE","","","CofO Issued","13/1/2020 00:00:00",,"0101000020E61000009CB1C0A086BD54C080D469399E2D4540"
"BLD2018-01557","411","E","FERRY","","","CofO Issued","20/5/2019 00:00:00","01001513.005L","0101000020E61000001EC02D0EFDC354C0684BF20E812E4540"
"BLD2018-01666","229",,"ALFRED",,"REFER TO BLD2018-01671
PHASE 2: (AKA UNIT 45) ERECT A 4 STORY TOWNHOUSE AS PER CERTIFICATE OF APPROPRIATENESS # 16-4509 AND PLANS. SEE PRV2018-00431 FOR PLANS. FOUNDATION PERMIT UNDER BLD2017-05927. COMPREHENSIVE LANDSCAPE PLAN MUST BE SUBMITTED SEPARATELY FOR REVIEW & APPROVAL. LANDSCAPING SHOWN ON PLANS NOT FOR APPROVAL ON THIS HASE.","CofO Issued","8/2/2022 00:00:00",,
"BLD2018-01667","233",,"ALFRED",,"REFER TO BLD2018-01671
PHASE 2: (AKA UNIT 46) ERECT A 4 STORY TOWNHOUSE AS PER CERTIFICATE OF APPROPRIATENESS # 16-4509 AND PLANS. SEE PRV2018-00431 FOR PLANS. FOUNDATION PERMIT UNDER BLD2017-05927. LANDSCAPE PLAN MUST BE SUBMITTED SEPARATELY FOR REVIEW & APPROVAL. LANDSCAPING SHOWN ON PLANS NOT APPROVED FOR THIS PHASE.","CofO Issued","8/2/2022 00:00:00","-500","0101000020E61000007C03DADF54C354C0D44400E90B2C4540"
"BLD2018-01668","237","","ALFRED","","REFER TO BLD2018-01671
PHASE 2: (AKA UNIT 47) ERECT A 4 STORY TOWNHOUSE AS PER CERTIFICATE OF APPROPRIATENESS # 16-4509 AND PLANS. SEE PRV2018-00431 FOR PLANS. FOUNDATION PERMIT UNDER BLD2017-05927. COMPREHENSIVE LANDSCAPE PLAN MUST BE SUBMITTED SEPARATELY FOR REVIEW & APPROVAL. LANDSCAPING PLANS SHOWN ARE NOT PART OF THIS PHASE.","CofO Issued","20/5/2021 00:00:00","-500","0101000020E61000007C03DADF54C354C0D44400E90B2C4540"
"BLD2018-01669","245","","ALFRED","","REFER TO BLD2018-01671
PHASE 2: (AKA UNIT 49) ERECT A 4 STORY TOWNHOUSE AS PER CERTIFICATE OF APPROPRIATENESS # 16-4509 AND PLANS. SEE PRV2018-00431 FOR PLANS. FOUNDATION PERMIT UNDER BLD2017-05927.COMPREHENSIVE LANDSCAPE PLAN MUST BE SUBMITTED SEPARTELY FOR REVIEW & APPROVAL.. LANDSCAPING SHOWN ON PLANS NOT PART OF THIS PHASE.","CofO Issued","8/3/2021 00:00:00",,
"BLD2018-01670","241",,"ALFRED",,"REFER TO BLD2018-01671
PHASE 2: ERECT A 4 STORY TOWNHOUSE AS PER CERTIFICATE OF APPROPRIATENESS # 16-4509 AND PLANS. SEE PRV2018-00431 FOR PLANS. FOUNDATION PERMIT UNDER BLD2017-05927 COMPREHENSIVE LANDSCAPE PLAN MUST BE SUBMITTED SEPARATELY FOR REVIEW & APPROVAL. LANDSCAPE SHOWN ON PLANS NOT PART OF THIS APPROVAL PHASE.","CofO Issued","3/2/2022 00:00:00","-500","0101000020E61000007C03DADF54C354C0D44400E90B2C4540"
"BLD2018-01672","213","","ALFRED","","REFER TO BLD2018-01671 PHASE 2: (AKA UNIT 41) ERECT A 4 STORY, TOWNHOUSE AS PER CERTIFICATE OF APPROPRAITENESS # 16-4509 AND PLANS. SEE PRV2017-00431 FOR PLANS. NOTE: FOUNDATION PERMIT UNDER BLD2017-05927. COMPREHENSIVE LANDSCAPE PLAN MUST BE SUBMITTED SEPARATELY FOR REVIEW & APPROVAL. LANDSCAPE SHOWN NOT PART OF THIS APPROVAL.","CofO Issued","22/4/2021 00:00:00","-500","0101000020E61000007C03DADF54C354C0D44400E90B2C4540"
"BLD2018-01673","217","","ALFRED","","REFER TO BLD2018-01671 PHASE 2: (AKA 217 ALFRED) ERECT A 4 STORY, TOWNHOUSE AS PER CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS. SEE PRV2018-00431 FOR PLANS.","CofO Issued","20/5/2021 00:00:00","-500","0101000020E61000007C03DADF54C354C0D44400E90B2C4540"
"BLD2018-01796","1200","","MARTIN LUTHER KING JR BLVD","","REVISION TO BLD2017-09794 TO REFLECT CHANGE IN UNITS FROM 77 TO 80 UNITS(BUILT 3 A TYPE  UNITS IN A MULTI FAMILY DWELLING) AS PER PLANS","CofO Issued","12/6/2020 00:00:00","06000985-9","0101000020E6100000640149076CC454C0103BBADEF32B4540"
"BLD2018-01942","9000","W","VERNOR","","","CofO Issued","2/1/2019 00:00:00","20004262-5","0101000020E61000007D9B2A3DB2C854C0C193626F72274540"
"BLD2018-02070","1620","","MICHIGAN","","PHASE II. CORE AND SHELL PERMIT FOR A 4 STORY/ MIXED-USE RETAIL AND RESIDENTIAL (111 UNITS. BUILDING AS PER EPLANS & BZA GRANT #81-17.","CofO Issued","19/4/2021 00:00:00","08000590-1","0101000020E6100000262C430C58C454C01DDC0691752A4540"
"BLD2018-02268","6400","W","WARREN","","(See case notes ) ESTABLISH USED MOTOR VEHICLE SALES LOT AT 6400 W. WARREN AS PER PROVIDED DRAWINGS AND BSEED CASE NO. 254-16 RECORDED W/ WCRD ON 11-09-2017. SUBJECT TO ALL MICHIGAN CODE COMPLIANCE AND INSPECTION REQUIREMENTS.
TEMPORARY CERTIFICATE OF OCCUPANCY ISSUED (EXPIRES: JUNE 11, 2019)","CofO Issued","11/4/2019 00:00:00","18003669.","0101000020E61000002B37ADE57AC854C08AA9236E2E2C4540"
"BLD2018-02318","2135","","MICHIGAN","","","CofO Issued","21/3/2019 00:00:00","10000226.","0101000020E61000001A584D74DAC454C02C763ABE622A4540"
"BLD2018-02321","3411","W","FORT","","CUSTOMER RETURNING TO PAY
Change of Occupancy from Machine Shop to Equipment Rental/Storage and Office and alterations in North Building only as per plans.","CofO Issued","7/1/2019 00:00:00","12000039-40","0101000020E610000059E6A1A420C554C035AAE2B36D284540"
"BLD2018-02336","3394","S","FORT","","EST A (MMPCF) IN AN EXISTING 1-STORY 2,150 SQFT BLD PER ATTCH EPLAN DRAWINGS & BSEED CASE NO. #106-17 RECORDED W/ WCRD ON 03-14-2018. SUBJ TO ALL CODE COMPLIANCE REQUIREMENTS & INSPECTIONS REQUIRED","CofO Issued","1/7/2019 00:00:00","20015171.","0101000020E61000004C12AC90A5CA54C080AC1EF8C8214540"
"BLD2018-03095","2100","","TRUMBULL","","REVISE (BLD2017-06105) TO REFLECT CHANGES IN SCOPE OF WORK AND COST OF CONSTRUCTION AS INDICATED ON EPLAN SUBMITTAL..
ERECT A 3 STORY, 5 UNIT MULTIFAMILY DWELLING W/PARKING BER BZA# 39-16 THRU 42-16 RECORDED W/WCRD ON    AND PLANS.","CofO Issued","14/8/2019 00:00:00","06005851.","0101000020E61000002FE5720C48C454C063F4C9FF812A4540"
"BLD2018-03096","6402","","WOODWARD","","","CofO Issued","26/9/2019 00:00:00","01004278-0","0101000020E6100000AB971BE797C454C0B389BC3A312F4540"
"BLD2018-03097","2120","","TRUMBULL","","REVISE (BLD2017-06105) TO REFLECT CHANGES IN SCOPE OF WORK AND COST OF CONSTRUCTION AS INDICATED ON EP","CofO Issued","14/8/2019 00:00:00","-602","0101000020E610000025C234CE49C454C0543B0A29872A4540"
"BLD2018-03498","10101","","FENKELL","","ESTABLISH A MEDICAL MARIHUANA PROVISIONING CENTER FACILITY(MMPCF) IN AN EXISTING 8,060 S/F BLDG PER CASE NO. 63-17 AKA BSEED 161-16 RECORDED W/ WCRD ON 01-31-2018 & PROVIDED EPLAN DRAWINGS","CofO Issued","15/10/2019 00:00:00","16007016-23","0101000020E61000001B2D510056CA54C0DECDE79A7D334540"
"BLD2018-03552","1444","","MICHIGAN","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","10/4/2019 00:00:00","06000405.","0101000020E6100000D369B34741C454C0B16C1924742A4540"
"BLD2018-03644","7426","W","MCNICHOLS","","CHANGE OF OCCUPANCY FROM (M) RETAIL TO (B) OFFICE AND ALTERATIONS AS PER PROVIDED EPLAN DRAWINGS. SUBJECT TO ALL MICHIGAN CODE COMPLIANCE AND INSPECTION REQUIREMENTS.","CofO Issued","8/7/2019 00:00:00","16008265.","0101000020E6100000A6BBB83B54C954C09F02BD006C354540"
"BLD2018-03681","13501","","AUBURN","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","22/3/2019 00:00:00","22092713.003L","0101000020E6100000BC3913A307CF54C055E261111D314540"
"BLD2018-03933","3340","E","EIGHT MILE","","","CofO Issued","29/5/2019 00:00:00","13009188-9","0101000020E6100000FBDD377F7FC454C070EDF33636394540"
"BLD2018-03950","7840","W","W. VERNOR","","Legalize the establishment of a Financial Service Center in an 830 sq. ft. unit as per BSEED #127-17. ProjectDox BLD-4846.","CofO Issued","5/6/2019 00:00:00",,
"BLD2018-03956","400","E","JEFFERSON","","Interior Renaissance Center Food Court renovations/alterations as per provided Eplan drawings. Subject to all Michigan Code Compliance and Inspection requirements.","CofO Issued","1/3/2019 00:00:00","01000001.","0101000020E6100000F4CF63548EC254C03592F5C4432A4540"
"BLD2018-04065","19535","W","WARREN","","WHITE BOX BUILD OUT TO ESTABLISH (3) TENANT SPACES IN EXISTING COMMERCIAL BUILDING AS INDICATED ON PLANS.","CofO Issued","21/2/2019 00:00:00","22000348-52","0101000020E6100000C26C7CDBE3CE54C09AA5883AE12B4540"
"BLD2018-04089","423","E","FERRY","","","CofO Issued","29/5/2019 00:00:00","01001514.001","0101000020E61000001EC02D0EFDC354C0684BF20E812E4540"
"BLD2018-04279","9101","W","FORT","","PER BZA 118-17 & BSEED 157-16, ADD JUNKYARD W/ DISMANTLING TO AN EXISTING USED AUTO PARTS SALES AND STORAGE FACILITY ON 3.36 ACRE PARCEL AS INDICATED ON PLANS","CofO Issued","6/8/2019 00:00:00","20001586-9","0101000020E6100000482DBBC431C854C091933461F7254540"
"BLD2018-04346","12146","","HUBBELL","","CHANGE OF USE PER BZA #(106-16) FROM OFFICE/WAREHOUSE TO USED AUTO SALES LOT AS INDICATED ON PLANS.","CofO Issued","9/1/2019 00:00:00","22038859.","0101000020E6100000E916543F00CC54C0B8898AC542304540"
"BLD2018-04349","24363","W","GRAND RIVER","","CHANGE OF OCCUPANCY FROM BANK TO ESTABLISH A MEDICAL MARIHUANA PROVISIONING CENTER FACILITY IN AN EXISTING 3465 SFT BUILDING AS PER BSEED #59-16 RECORDED W/WCRD ON 6/21/16 & BZA # 5-17 RECORDED ON 2-16-18.","CofO Issued","9/1/2019 00:00:00","22007570-7","0101000020E61000003C158292FFD154C05BDAAA9D78364540"
"BLD2018-04367","6545","","WOODWARD","","WHITE BOX ALTERATIONS TO EXISTING TENANT SPACE AS INDICATED ON EPLAN SUBMITTAL.","CofO Issued","2/7/2019 00:00:00","02001744.002","0101000020E610000066BB742BB1C454C0993300D3502F4540"
"BLD2018-04382","15100","","WYOMING","","CONSTRUCT A 1 STORY, 9180 SFT RETAIL STORE W/ ACCESSORY PARKING ON 8721 ELLSWORTH (SEPERATE PERMIT REQUIRED) AS PER EPLANS.","CofO Issued","8/2/2019 00:00:00","16037449-53","0101000020E610000063534BE531CA54C0EF49E2A75B334540"
"BLD2018-04954","6200","E","EIGHT MILE",,"MODIFY BSEED #275-16 TO CONSTRUCT TWO PROPOSED BUILDINGS A (AKA 6220 E. EIGHT MILE) & B (AKA 6240 E. EIGHT MILE) EACH HAVING 2,908 SQUARE FEET TO ESTABLISH MARIJUANA RETAILER/PROVISIONING FACILITY (MRPF) AS PER BSEED # 165-17 RECORDED ON 02--01-2022 W/WCRD.","CofO Issued","22/2/2022 00:00:00","13009032.003L","0101000020E6100000BEFD8C079BC254C005CBACC942394540"
"BLD2018-04957","6200","E","EIGHT MILE",,"MODIFY BSEED #275-16 TO CONSTRUCT TWO PROPOSED BUILDINGS A (AKA 6220 E. EIGHT MILE) & B (AKA 6240 E. EIGHT MILE) EACH HAVING 2,908 SQUARE FEET TO ESTABLISH MARIJUANA RETAILER/PROVISIONING FACILITY (MRPF) AS PER BSEED # 165-17 RECORDED ON 02--01-2022 W/WCRD.","CofO Issued","22/2/2022 00:00:00","13009032.003L","0101000020E6100000BEFD8C079BC254C005CBACC942394540"
"BLD2018-04987","20040","","SCHOOLCRAFT","","CHANGE OF OCCUPANCY PER BSEED (#14-18) FROM RETAIL TO MINOR MOTOR VEHICLE REPAIR FACILITY WITH ASSOCIATED ALTERATIONS AS INDICATED ON PLANS.","CofO Issued","22/12/2021 00:00:00","22009539-48","0101000020E61000000C4702BA31CF54C08537DE8A7B314540"
