"inspectionid","inspectiondate","inspection_type","establishmentid","name","violation","violation_description","violation_type","item1","item2","item3","problem1","problem2","problem3","inspectarea","location1","location2","corrected","days_to_correct","date_corrected","correction_description","critical"
"59761","4/6/2022","Routine Inspection","206","Rivertown Pizza Papalis ","6-201.13","(A) In FOOD ESTABLISHMENTS in which cleaning methods other than water flushing are used for cleaning floors, the floor and wall junctures shall be coved and closed to no larger than one thirty-second inch.
(B) The floors in FOOD ESTABLISHMENTS in which water flush cleaning methods are used shall be provided with drains and be graded to drain, and the floor and wall junctures shall be coved and SEALED.","Core","Floor(s)","juncture",,"Not coved",,,"COOK LINE AREA","At the","Coved molding","False","30",,"Provide / install coved molding.","False"
"59761","4/6/2022","Routine Inspection","206","Rivertown Pizza Papalis ","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Not accessible",,,"REAR PREP AREA","At the","Handsink","True","10","4/6/2022",,"True"
"59760","6/15/2022","Routine Inspection","51622517","Brass Rail","7-201.11","POISONOUS OR TOXIC MATERIAL shall be stored so they can not contaminate FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE AND SINGLE-USE ARTICLES by:   
(A) Separating the POISONOUS OR TOXIC MATERIAL by spacing or partitioning; (P) and   
(B) Locating the POISONOUS OR TOXIC MATERIAL in an area that is not above FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE AND SINGLE-USE ARTICLES.  This paragraph does not apply to EQUIPMENT and UTENSIL cleaners and sanitizers that are stored in WAREWASHING areas for availability and convenience if the materials are stored to prevent contamination of FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE and SINGLE-USE ARTICLES. (P)","Priority","Poisonous/toxic material(s)",,,"Not separated from","Food",,"WALK-IN COOLER",,,"True","10","7/15/2022","Store toxics below and away from all other items.","True"
"59760","6/15/2022","Routine Inspection","51622517","Brass Rail","3-501.18","A FOOD specified in ¶ 3-501.17(A) or (B) shall be discarded if it:  
    (1) Exceeds the temperature and time combination specified in ¶ 3-501.17(A),              except time that the product is frozen; (P)
    (2) Is in a container or PACKAGE that does not bear a date or day; (P) or
    (3) Is appropriately marked with a date or day that exceeds a temperature and              time combination as specified in ¶ 3-501.17(A). (P)  

","Priority","Ready to eat, potentially hazardous food(s)",,,"Not marked with a consume by date",,,"KITCHEN",,,"True","10","6/15/2022",,"True"
"59760","6/15/2022","Routine Inspection","51622517","Brass Rail","3-101.11","FOOD shall be safe, unADULTERATED and honestly presented. (P)
","Priority","Food",,,"Dishonestly presented",,,"KITCHEN",,,"True","10","6/15/2022",,"True"
"59760","6/15/2022","Routine Inspection","51622517","Brass Rail","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Not easily accessible","Items stored","In","HANDSINK(S)",,,"True","10","7/15/2022",,"True"
"59760","6/15/2022","Routine Inspection","51622517","Brass Rail","5-205.15","A PLUMBING SYSTEM shall be:
(A) Repaired according to LAW; (P) and
(B) Maintained in good repair.
","Core","Plumbing system",,,"Not maintained",,,"BASEMENT",,,"False","10",,"Maintain in good repair","False"
"59759","7/8/2022","Routine Inspection","51623525","Lefty's Cheesesteaks","7-201.11","POISONOUS OR TOXIC MATERIAL shall be stored so they can not contaminate FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE AND SINGLE-USE ARTICLES by:   
(A) Separating the POISONOUS OR TOXIC MATERIAL by spacing or partitioning; (P) and   
(B) Locating the POISONOUS OR TOXIC MATERIAL in an area that is not above FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE AND SINGLE-USE ARTICLES.  This paragraph does not apply to EQUIPMENT and UTENSIL cleaners and sanitizers that are stored in WAREWASHING areas for availability and convenience if the materials are stored to prevent contamination of FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE and SINGLE-USE ARTICLES. (P)","Priority","Poisonous/toxic material(s)",,,"Stored over/with","Food",,"PREP AREA(S)",,,"True","10","7/8/2022","Store toxics below and away from all other items.","True"
"59759","7/8/2022","Routine Inspection","51623525","Lefty's Cheesesteaks","3-304.14","(A)  Cloths that are in use for wiping FOOD spills on TABLEWARE shall be maintained dry and used for no other purpose. 
(B)  Cloths in-use for wiping counters and equipment shall be held between uses in   a chemical sanitizer solution, and laundered daily.
(C)  Cloths in-use for wiping surfaces in contact with raw animal FOODS shall be      kept separate from cloths used for other purposes.
(D)  Dry wiping cloths and the chemical sanitizing solutions shall be free of FOOD    debris or visible soil.
(E)  Containers of chemical sanitizing solutions shall be stored off the floor and         used in a manner that prevents contamination of FOOD, EQUIPMENT, UTENSILS, LINENS, SINGLE-SERVICE, or SINGLE-USE ARTICLES.
(E)  SINGLE-USE disposable sanitizer wipes shall be used in accordance lable               instructions.
","Core","Wiping cloth(s)","wet",,"Stored in","Less than","100-200 ppm quaternary ammonia","COOK LINE AREA",,,"False","30",,"Store wiping cloths in 100-200 ppm quaternary ammonia.","False"
"59757","7/8/2022","Routine Inspection","4615","Buffalo Wild Wings","7-201.11","POISONOUS OR TOXIC MATERIAL shall be stored so they can not contaminate FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE AND SINGLE-USE ARTICLES by:   
(A) Separating the POISONOUS OR TOXIC MATERIAL by spacing or partitioning; (P) and   
(B) Locating the POISONOUS OR TOXIC MATERIAL in an area that is not above FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE AND SINGLE-USE ARTICLES.  This paragraph does not apply to EQUIPMENT and UTENSIL cleaners and sanitizers that are stored in WAREWASHING areas for availability and convenience if the materials are stored to prevent contamination of FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE and SINGLE-USE ARTICLES. (P)","Priority","Poisonous/toxic material(s)",,,"Stored over/with","Single-service/use items",,"DRY STORAGE AREA",,,"True","10","7/8/2022",,"True"
"59757","7/8/2022","Routine Inspection","4615","Buffalo Wild Wings","4-501.11","EQUIPMENT shall be maintained in a state of repair and condition that meets the requirements of the code.
","Core","Equipment components","seals",,"Do not meet requirements of rule",,,"COOK LINE AREA","In the","Reach-in Freezer","False","30",,,"False"
"59753","6/15/2022","Routine Inspection","1911","United Grill ","6-301.11","Each HANDWASHING SINK or group of 2 adjacent HANDWASHING SINKS shall be provided with a supply of hand cleaning liquid, powder, or bar soap. (Pf)
","Foundation","Soap","at restroom handsink","employee","Not provided","At hand sink",,"BATHROOM",,,"True","10","6/15/2022","Provide","True"
"59753","6/15/2022","Routine Inspection","1911","United Grill ","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation","Sanitary hand drying provisions","disposable, paper towels",,"Not provided","At hand sink",,"BATHROOM",,,"True","10","6/15/2022","Provide","True"
"59753","6/15/2022","Routine Inspection","1911","United Grill ","3-304.12","During pauses in FOOD preparation or dispensing, UTENSILS shall be stored:
(A) In the FOOD with their handles above the top of the FOOD and the container;
(B) In FOOD that is not POTENTIALLY HAZARDOUS with their handles above the      top of the FOOD within containers or EQUIPMENT that can be closed, such as      bins of sugar, flour, or cinnamon;
(C) On a clean portion of the FOOD preparation table or cooking EQUIPMENT
(D)  In running water, such as dipper well.
(E)  In a clean, protected location if the UTENSILS, such as ice scoops, are   used only with a FOOD that is not POTENTIALLY HAZARDOUS; or
(F)  In a container of water maintained at a temperature of at least 135° F.
","Core","Dispensing utensil(s)",,,"Improperly stored","With handle in product",,"ICE BIN",,,"True","30","6/15/2022","Store with handle extended out of product.","False"
"59748","7/7/2022","Routine Inspection","51622672","Cork & Gabel","5-205.15","A PLUMBING SYSTEM shall be:
(A) Repaired according to LAW; (P) and
(B) Maintained in good repair.
","Core","Drainage system","drain lines",,"Not constructed, designed, installed according to law",,,"BAR","Under the","Dish area","False","10",,,"False"
"59748","7/7/2022","Routine Inspection","51622672","Cork & Gabel","5-205.15","A PLUMBING SYSTEM shall be:
(A) Repaired according to LAW; (P) and
(B) Maintained in good repair.
","Core","Drainage system","drain lines",,"Not constructed, designed, installed according to law",,,"BAR",,,"False","10",,,"False"
"59747","7/7/2022","Routine Inspection","51622881","Shinola Hotel- San Morello","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Not easily accessible",,,"BAR","and the","Cookline","True","10","7/7/2022",,"True"
"59747","7/7/2022","Routine Inspection","51622881","Shinola Hotel- San Morello","7-102.11","Working containers used for storing POISONOUS OR TOXIC MATERIALS such as cleaners and SANITIZERS taken from bulk supplies shall be clearly and individually identified with the common name of the material. (Pf)
","Foundation","Working containers-toxics",,,"Not labeled as to content",,,"BAR","In the","Well","True","10","7/7/2022",,"True"
"59747","7/7/2022","Routine Inspection","51622881","Shinola Hotel- San Morello","3-301.11","(A) To prevent food contamination FOOD EMPLOYEES shall properly wash their      hands.
(B) FOOD EMPLOYEES may not contact exposed, READY-TO-EAT FOOD with      their bare hands and shall use suitable UTENSILS such as deli tissue,       spatulas, tongs, single-use gloves, or dispensing EQUIPMENT. (P)
(C) FOOD EMPLOYEES shall minimize bare hand and arm contact with exposed     FOOD that is not in a READY-TO-EAT form. (Pf)

","Priority","Ready-to-eat food(s)",,,"Handled with bare hands",,,"BAR",,,"True","10","7/7/2022",,"True"
"59745","7/7/2022","Routine Inspection","51622886","Shinola Hotel- Evening Bar","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Not accessible",,,"BAR","At the","Handsink","True","10","7/7/2022",,"True"
"59745","7/7/2022","Routine Inspection","51622886","Shinola Hotel- Evening Bar","7-102.11","Working containers used for storing POISONOUS OR TOXIC MATERIALS such as cleaners and SANITIZERS taken from bulk supplies shall be clearly and individually identified with the common name of the material. (Pf)
","Foundation","Working containers-toxics",,,"Not labeled as to content",,,"BAR",,,"True","10","7/7/2022",,"True"
"59743","7/7/2022","Routine Inspection","51622701","Shinola Hotel- Banquet Kitchen","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation","Sanitary hand drying provisions","disposable, paper towels",,"Not provided",,,"BANQUET KITCHEN","At the","Handsink","True","10","7/7/2022",,"True"
"59741","7/7/2022","Routine Inspection","51623040","Mister Dips","4-501.114","A chemical SANITIZER used in a SANITIZING solution for a manual or
mechanical operation shall meet these limits or as otherwise approved: (P)
	Chlorine        ppm           pH<10             pH<8
		      25              120 F              120 F
		      50              100 F              75 F
		     100              55 F               55 F
                 Iodine           a concentration of between 12.5 and 25 ppm and minimum temp of 75 F and pH of 5 or less or meets manufacturer's specifications. (P)

                Quats            minimum temperature of 75 F, hardness of 500 ppm or less and meet manufacturers use directions. (P)
","Priority","Quaternary ammonia solution",,,"Below 100 ppm",,,"DISHWASHING AREA","At the","Three compartment sink","True","10","7/7/2022",,"True"
"59739","7/7/2022","Routine Inspection","51622700","ChickP","4-302.12","(A) FOOD TEMPERATURE MEASURING DEVICES shall be provided and readily accessible for use in ensuring attainment and maintenance of FOOD temperatures as specified under Chapter 3. (Pf)   
(B) A TEMPERATURE MEASURING DEVICE with a suitable small-diameter probe that is designed to measure the temperature of thin masses shall be provided and readily accessible to accurately measure the temperature in thin FOODS such as MEAT patties and FISH filets. (Pf)
","Foundation","Food thermometer(s)","probe",,"Not provided",,,"FACILITY",,,"True","10","8/5/2022","Provide.","True"
"59737","7/7/2022","Routine Inspection","51623750","Brisa Bar","5-202.12","(A) A handwashing sink shall be equipped to provide water at a temperature of at least 38°C (100°F) through a mixing valve or combination faucet. (Pf)  
(B) A steam mixing valve may not be used at a handwashing sink.  
(C) A self-closing, slow-closing, or metering faucet shall provide a flow of water for at least 15 seconds without the need to reactivate the faucet.   
(D) An automatic handwashing facility shall be installed in accordance with manufacturer's instructions.
","Foundation","Handwashing facility",,,"Lack of hot water",,,"BAR","At the","Handsink","True","10","7/12/2022",,"True"
"59735","7/7/2022","Routine Inspection","5392","800 Parc","3-301.11","(A) To prevent food contamination FOOD EMPLOYEES shall properly wash their      hands.
(B) FOOD EMPLOYEES may not contact exposed, READY-TO-EAT FOOD with      their bare hands and shall use suitable UTENSILS such as deli tissue,       spatulas, tongs, single-use gloves, or dispensing EQUIPMENT. (P)
(C) FOOD EMPLOYEES shall minimize bare hand and arm contact with exposed     FOOD that is not in a READY-TO-EAT form. (Pf)

","Priority","Ready-to-eat food(s)",,,"Handled with bare hands",,,"WAIT STATIONS",,,"True","10","7/7/2022",,"True"
"59735","7/7/2022","Routine Inspection","5392","800 Parc","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Not easily accessible",,,"SALAD STATION","and the","Cookline","True","10","7/7/2022",,"True"
"59735","7/7/2022","Routine Inspection","5392","800 Parc","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation","Sanitary hand drying provisions",,,"Broken",,,"PREP AREA(S)","In the","Basement","True","10","7/7/2022",,"True"
"59735","7/7/2022","Routine Inspection","5392","800 Parc","6-501.11","PHYSICAL FACILITIES shall be maintained in good repair.
","Core","Physical facilities",,,"In poor repair",,,"KITCHEN","By the","Oven","False","30",,,"False"
"59735","7/7/2022","Routine Inspection","5392","800 Parc","4-501.114","A chemical SANITIZER used in a SANITIZING solution for a manual or
mechanical operation shall meet these limits or as otherwise approved: (P)
	Chlorine        ppm           pH<10             pH<8
		      25              120 F              120 F
		      50              100 F              75 F
		     100              55 F               55 F
                 Iodine           a concentration of between 12.5 and 25 ppm and minimum temp of 75 F and pH of 5 or less or meets manufacturer's specifications. (P)

                Quats            minimum temperature of 75 F, hardness of 500 ppm or less and meet manufacturers use directions. (P)
","Priority","Chlorine solution concentration",,,"Below 25 ppm",,,"BAR","At the","Dishwasher (low temperature)","True","10","7/7/2022",,"True"
"59733","7/6/2022","Routine Inspection","51623387","Sloppy Crab","7-102.11","Working containers used for storing POISONOUS OR TOXIC MATERIALS such as cleaners and SANITIZERS taken from bulk supplies shall be clearly and individually identified with the common name of the material. (Pf)
","Foundation","Working containers-toxics",,,"Not labeled as to content",,,"BAR","Under the","Bar","True","10","7/6/2022",,"True"
"59733","7/6/2022","Routine Inspection","51623387","Sloppy Crab","6-301.11","Each HANDWASHING SINK or group of 2 adjacent HANDWASHING SINKS shall be provided with a supply of hand cleaning liquid, powder, or bar soap. (Pf)
","Foundation","Soap",,,"Not provided",,,"WAITRESS STATION","At the","Handsink","True","10","7/6/2022",,"True"
"59733","7/6/2022","Routine Inspection","51623387","Sloppy Crab","3-501.16","Except during preparation, cooking, or cooling, or when time is used as the public health control POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD) shall be maintained:
(A)  135ºF or above, except that roasts properly cooked and cooled may be held              at a temperature of 130ºF; or (P)
(B)   At 41ºF or less (P)
","Priority","Cold food item(s)",,,"Stored above 41 degrees F",,,"KITCHEN","In the","Reach-in cooler","True","10","7/6/2022",,"True"
"59733","7/6/2022","Routine Inspection","51623387","Sloppy Crab","4-501.114","A chemical SANITIZER used in a SANITIZING solution for a manual or
mechanical operation shall meet these limits or as otherwise approved: (P)
	Chlorine        ppm           pH<10             pH<8
		      25              120 F              120 F
		      50              100 F              75 F
		     100              55 F               55 F
                 Iodine           a concentration of between 12.5 and 25 ppm and minimum temp of 75 F and pH of 5 or less or meets manufacturer's specifications. (P)

                Quats            minimum temperature of 75 F, hardness of 500 ppm or less and meet manufacturers use directions. (P)
","Priority","Chlorine solution concentration",,,"Below 25 ppm",,,"DISHWASHING AREA",,,"True","10","7/6/2022",,"True"
"59732","7/7/2022","Routine Inspection","51622811","Avalon International Breads","4-501.11","EQUIPMENT shall be maintained in a state of repair and condition that meets the requirements of the code.
","Core","Equipment",,,"In poor repair",,,"KITCHEN","Under the","Cooler (prep)","False","30",,,"False"
"59731","6/10/2022","Routine Inspection","51622697","Chili Mustard Onions","3-501.16","Except during preparation, cooking, or cooling, or when time is used as the public health control POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD) shall be maintained:
(A)  135ºF or above, except that roasts properly cooked and cooled may be held              at a temperature of 130ºF; or (P)
(B)   At 41ºF or less (P)
","Priority","Cold food item(s)",,,"Stored above 41 degrees F",,,"COUNTER",,,"True","10","6/10/2022","Store below 41 degrees F.","True"
"59731","6/10/2022","Routine Inspection","51622697","Chili Mustard Onions","7-201.11","POISONOUS OR TOXIC MATERIAL shall be stored so they can not contaminate FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE AND SINGLE-USE ARTICLES by:   
(A) Separating the POISONOUS OR TOXIC MATERIAL by spacing or partitioning; (P) and   
(B) Locating the POISONOUS OR TOXIC MATERIAL in an area that is not above FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE AND SINGLE-USE ARTICLES.  This paragraph does not apply to EQUIPMENT and UTENSIL cleaners and sanitizers that are stored in WAREWASHING areas for availability and convenience if the materials are stored to prevent contamination of FOOD, EQUIPMENT, UTENSILS, LINENS, AND SINGLE-SERVICE and SINGLE-USE ARTICLES. (P)","Priority","Poisonous/toxic material(s)",,,"Stored over/with","Equipment/utensils",,"3 COMPARTMENT SINK AREA",,,"True","10","6/10/2022","Store toxics below and away from all other items.","True"
"59731","6/10/2022","Routine Inspection","51622697","Chili Mustard Onions","3-501.17","(A)  READY-TO-EAT, POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  prepared and held refrigerated for more than 24 hours in a FOOD ESTABLISHMENT  shall be clearly marked at the time of preparation to indicate the date or day by which the FOOD shall be consumed. (Pf)
(B)  A container of refrigerated, commercially prepared READY-TO-EAT POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  shall be clearly marked, at the time the original container is opened in a FOOD ESTABLISHMENT, to indicate the date or day by which the FOOD shall be consumed. (Pf)

A date marking system that does not exceed 7 days, including date of preparation, or opening is to be used. (Pf)
","Foundation","In house prepared ready-to-eat potentially hazardous  food(s)",,,"Without date of consumption marking",,,"COOLER",,,"True","10","6/10/2022","Datemark with a discard date of 7 days or less.","True"
"59731","6/10/2022","Routine Inspection","51622697","Chili Mustard Onions","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Not easily accessible","Items stored","In front of","HANDSINK(S)",,,"True","10","6/10/2022","Remove items from handsink.  Do not store items at handsink.","True"
"59729","6/16/2022","Routine Inspection","1894","Thurgood Marshall Elementary","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core","Nonfood contact surface(s)",,,"Soiled",,,"COOLER",,,"False","30",,"Clean.","False"
"59729","6/16/2022","Routine Inspection","1894","Thurgood Marshall Elementary","MFL289.2129","Sec. 2129. (1) All food establishments shall employ a minimum of 1 managerial employee as a food safety manager, who must be an individual who is currently certified under a personnel certification program accredited by the American National Standards Institute, utilizing the Conference for Food Protection standards:
(2) Beginning January 14, 2017 and every 5 years thereafter, a certified  food safety manager who supervises the operations of a food service establishment shall have completed a food safety training program
containing an allergen awareness  component that has been approved by  the department. A food service establishment shall retain records on the  site of the food service establishment documenting compliance of its  certified food safety managers with this subsection. ","Core","Person-in-charge",,,,,,"PERSON IN CHARGE",,,"False","30",,"Provide","False"
"59728","6/13/2022","Routine Inspection","4125","University Yes Academy","3-501.16","Except during preparation, cooking, or cooling, or when time is used as the public health control POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD) shall be maintained:
(A)  135ºF or above, except that roasts properly cooked and cooled may be held              at a temperature of 130ºF; or (P)
(B)   At 41ºF or less (P)
","Priority","Hot food item(s)",,,"Stored below 135 degrees F",,,"HOT HOLDING CABINET",,,"True","10","6/13/2022","","True"
"59727","6/15/2022","Routine Inspection","849","Vernor Elementary","4-501.11","EQUIPMENT shall be maintained in a state of repair and condition that meets the requirements of the code.
","Core","Equipment",,,"Do not meet requirements of rule",,,"COOLER",,,"False","30",,"Repair/replace to meet requirements of rule.","False"
"59726","6/15/2022","Routine Inspection","1243","Pasteur Elementary School","5-103.11","(A) The water source and system shall be of sufficient capacity to meet the peak water demands of the FOOD ESTABLISHMENT. (Pf)
(B) Hot water generation and distribution systems shall be sufficient to meet the peak hot water demands throughout the FOOD ESTABLISHMENT. (Pf)
","Foundation","Hot water supply",,,"Insufficient to meet demands",,,"3 COMPARTMENT SINK AREA",,,"False","10",,"Provide sufficient water source/system to meet demand.","True"
"59725","6/30/2022","Routine Inspection","1627","McDonald's #15873","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Not easily accessible","Items stored","In front of","HANDSINK(S)",,,"True","10","6/30/2022",,"True"
"59725","6/30/2022","Routine Inspection","1627","McDonald's #15873","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"Not clean",,,"FACILITY",,,"False","30",,,"False"
"59722","4/20/2022","Routine Inspection","1006","John Nichols Elementary","4-501.11","EQUIPMENT shall be maintained in a state of repair and condition that meets the requirements of the code.
","Core","Equipment",,,"In poor repair",,,"CAFETERIA","At the","Equipment","False","30",,,"False"
"59716","11/4/2021","Routine Inspection","5249","Motown Cafe Grill","3-307.11","FOOD shall be protected from contamination that may result from a factor or source not specified under Subparts 3-301 - 3-306.
","Core","Food",,,"Not protected",,,"WALK-IN COOLER",,,"False","30",,,"False"
"59713","7/5/2022","Routine Inspection","3332","Chicken Shack","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation","Sanitary hand drying provisions","disposable, paper towels",,"Not provided","At hand sink",,"RESTAURANT","Missing","Hand-drying towels","True","10","7/5/2022","Provide","True"
"59712","7/1/2022","Routine Inspection","1596","Cass Cafe","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures","walls",,"Not clean",,,"KITCHEN",,,"False","30",,,"False"
"59712","7/1/2022","Routine Inspection","1596","Cass Cafe","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures","walls",,"Not clean",,,"KITCHEN","At the","Wall (Northwest)","False","30",,"Clean","False"
"59712","7/1/2022","Routine Inspection","1596","Cass Cafe","6-201.11","Except otherwise approved, and except for antislip floor coverings or applications may be used for safety reasons, floors, floor coverings, walls, wall coverings, and ceilings shall be designed, constructed, and installed so they are SMOOTH and EASILY CLEANABLE.
","Core","ceiling(s)",,,"Not constructed, designed, installed to be","Smooth",,"KITCHEN","Missing","Ceiling tile(s)","False","30",,,"False"
"59711","7/1/2022","Routine Inspection","5398","Captain Jay's #102","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Not easily accessible","Items stored","In","KITCHEN","At the","Handsink","False","10",,"Remove items from handsink.  Do not store items at handsink.","True"
"59711","7/1/2022","Routine Inspection","5398","Captain Jay's #102","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures","ceiling",,"Soiled",,,"KITCHEN","On the ceiling","Ceiling tile(s)","False","30",,"Keep clean.","False"
"59711","7/1/2022","Routine Inspection","5398","Captain Jay's #102","4-501.11","EQUIPMENT shall be maintained in a state of repair and condition that meets the requirements of the code.
","Core","Equipment components","doors",,"In poor repair",,,"WALK-IN FREEZER","At the","Door","False","30",,,"False"
"59710","3/1/2022","Routine Inspection","5113","Takoi","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core","Nonfood contact surface(s)",,,"Soiled",,,"BAR","On the","Shelf","False","30",,"Keep clean.","False"
